################################################################################
# WEBOBS DEV-MARENGO
#
# PROC: {PROC.GNSSSOUF} GNSS Soufrière
# TITLE: {\fontsize{14}{\bfGNSS Soufrière - Source best model timeline} (1 year)} {GNSSSOUF_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_gdcamc0_01y.txt
# TIMESPAN: from "18-Mar-2024 20:48:33" to "18-Mar-2025 20:48:33"
#
# NODE_FID: AMC0
# NODE_NAME: "Morne Amic"
# NODE_LATITUDE: -21.2449
# NODE_LONGITUDE: 55.7089
# NODE_ELEVATION: 1357.00
# NODE_URL: /cgi-bin/showNODE.pl?node=PROC.GNSSSOUF.GDCAMC0
# TIME_PERIODS: 90,180,270,365
#
#   Time period #1 = 30 days (~1 month)
#   Time period #2 = 15 days (15 days)
#
# CREATED: 18-Mar-2025 21:49:04 by beaudu@marengo.local
# COPYRIGHT: MMXXV, 
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 -1.279181 0.830707 -3.001728 15.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 -2.115381 -0.717690 5.919779 5.000000 5.000000 15.000000 -3.604409 -0.460347 5.518828 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 0.414132 -0.252833 -1.651546 5.000000 5.000000 15.000000 -2.114761 -0.146620 0.834509 5.000000 5.000000 15.000000 -3.172141 -0.219930 1.251763 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 2.341096 0.402423 -12.185182 5.000000 5.000000 15.000000 0.953222 -0.871469 -3.773967 5.000000 5.000000 15.000000 0.058467 -0.756364 -4.489180 5.000000 5.000000 15.000000 0.079038 -1.022492 -6.068707 5.000000 5.000000 15.000000
2020 09 05 00 00 00 -0.295255 0.987957 -1.587239 5.000000 5.000000 15.000000 2.305118 -0.191660 -7.177443 5.000000 5.000000 15.000000 0.412691 -0.364198 -6.010599 5.000000 5.000000 15.000000 0.557897 -0.492342 -8.125439 5.000000 5.000000 15.000000
2020 10 17 00 00 00 -3.714726 0.120105 5.994589 5.000000 5.000000 15.000000 -0.679342 0.617995 -5.981137 5.000000 5.000000 15.000000 -0.066198 -0.495017 -3.846866 5.000000 5.000000 15.000000 -1.020772 -0.242310 -5.202770 5.000000 5.000000 15.000000
2020 11 28 00 00 00 1.974748 1.392620 7.923999 5.000000 5.000000 15.000000 -1.408677 1.052726 6.948289 5.000000 5.000000 15.000000 0.190378 0.498876 -0.732629 5.000000 5.000000 15.000000 -0.625974 0.381505 -1.431958 5.000000 5.000000 15.000000
2021 01 09 00 00 00 0.696536 -1.451247 -0.416483 5.000000 5.000000 15.000000 -0.802356 -0.140119 6.759619 5.000000 5.000000 15.000000 -0.546187 0.383134 0.502835 5.000000 5.000000 15.000000 -0.717331 -0.707839 -0.482738 5.000000 5.000000 15.000000
2021 02 20 00 00 00 2.899462 -0.615919 -5.835575 5.000000 5.000000 15.000000 2.942177 -0.299849 1.955300 5.000000 5.000000 15.000000 0.237959 0.189755 5.857579 5.000000 5.000000 15.000000 1.135446 -0.437936 0.896565 5.000000 5.000000 15.000000
