################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcajb0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:39 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 01 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 03 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 08 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 01 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 04 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 07 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 09 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 12 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 02 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 05 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 07 22 13 34 10.981 -2044.126310 -4225.415492 5311.194574 20.441263 42.254155 159.335837 -8293.530378 -17151.776987 21539.844659 82.935304 171.517770 646.195340
2009 10 07 13 34 10.981 NaN NaN NaN NaN NaN NaN -8295.432289 -17146.396076 21539.844659 82.954323 171.463961 646.195340
2009 12 23 13 34 10.981 NaN NaN NaN NaN NaN NaN -8294.775178 -17151.617970 21539.844659 82.947752 171.516180 646.195340
2010 03 10 13 34 10.981 NaN NaN NaN NaN NaN NaN -8293.292902 -17153.342742 21539.844659 82.932929 171.533427 646.195340
2010 05 26 13 34 10.981 NaN NaN NaN NaN NaN NaN -8296.873733 -17153.797841 21539.844659 82.968737 171.537978 646.195340
2010 08 11 13 34 10.981 -20.802234 9.054183 -1.214492 5.786412 5.000000 71.344121 -92.251603 32.106415 -4.925440 23.467114 17.650269 289.340046
2010 10 27 13 34 10.981 0.748459 0.157279 24.624065 5.000000 5.000000 50.192431 -33.996348 7.690458 2.989611 5.465430 5.000000 64.191501
2011 01 12 13 34 10.981 -0.133262 8.028404 -14.067072 5.000000 5.000000 27.097676 -7.497629 4.785516 -9.826651 5.000000 5.000000 16.154101
2011 03 30 13 34 10.981 -0.160220 0.799498 2.014581 5.000000 5.000000 15.000000 -1.718329 2.674809 -5.693860 5.000000 5.000000 15.000000
2011 06 15 13 34 10.981 -1.323341 -0.375536 -6.853394 5.000000 5.000000 15.000000 -1.007428 0.018748 -11.961177 5.000000 5.000000 15.000000
2011 08 31 13 34 10.981 19.923019 17.756300 -27.494292 6.202277 5.932869 67.074208 0.492267 1.569943 -18.565726 5.000000 5.000000 15.000000
2011 11 16 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.080799 0.728442 -15.665764 5.000000 5.000000 15.000000
2012 02 01 13 34 10.981 1.402004 0.402919 4.925149 5.000000 5.000000 15.783974 1.309289 -2.512906 -8.032558 5.000000 5.000000 15.000000
2012 04 18 13 34 10.981 -3.828571 5.478305 -8.668054 5.000000 5.000000 23.797720 2.583751 -0.915435 1.154918 5.000000 5.000000 15.000000
2012 07 04 13 34 10.981 1.178989 -3.255116 -6.120493 5.000000 5.000000 15.000000 0.635971 -4.266495 2.149090 5.000000 5.000000 15.000000
2012 09 19 13 34 10.981 -2.554922 2.058133 -9.206438 5.000000 5.000000 15.000000 2.059227 -0.534273 -2.623921 5.000000 5.000000 15.000000
2012 12 05 13 34 10.981 -0.616512 -1.908167 6.494837 5.000000 5.000000 15.000000 -0.549713 0.511607 -3.877966 5.000000 5.000000 15.000000
2013 02 20 13 34 10.981 -0.485263 0.214203 -4.434521 5.000000 5.000000 15.000000 -1.500855 -0.060681 -1.886339 5.000000 5.000000 15.000000
2013 05 08 13 34 10.981 -0.252093 3.841510 0.668589 5.000000 5.000000 15.000000 -2.316794 1.662767 -0.580815 5.000000 5.000000 15.000000
2013 07 24 13 34 10.981 3.730990 -2.737136 -3.590460 5.000000 5.000000 15.000000 -0.413762 0.891988 -2.458298 5.000000 5.000000 15.000000
2013 10 09 13 34 10.981 -2.536062 1.061672 1.927926 5.000000 5.000000 15.000000 -0.561666 1.189722 -2.399187 5.000000 5.000000 15.000000
2013 12 25 13 34 10.981 2.924159 1.408591 1.699216 5.000000 5.000000 15.000000 0.300893 0.986119 -0.297219 5.000000 5.000000 15.000000
2014 03 12 13 34 10.981 -3.925077 -1.192406 -2.293399 5.000000 5.000000 15.000000 -0.717441 -1.387243 4.772573 5.000000 5.000000 15.000000
2014 05 28 13 34 10.981 3.530316 -6.272600 3.053282 5.000000 5.000000 15.000000 1.055813 -0.043128 12.414432 5.000000 5.000000 15.000000
2014 08 13 13 34 10.981 0.978245 17.376177 -16.725705 5.000000 5.000000 17.131265 4.919528 5.805167 -8.347484 5.000000 5.000000 15.000000
2014 10 29 13 34 10.981 -12.933540 -25.338411 -9.291812 5.000000 5.000000 24.511272 7.827766 3.817804 4.135478 5.000000 5.000000 15.000000
2015 01 14 13 34 10.981 0.155603 2.675791 11.506208 5.000000 5.000000 15.000000 4.434724 0.560659 4.578001 5.000000 5.000000 15.000000
2015 04 01 13 34 10.981 -0.518415 -1.288833 -8.181177 5.000000 5.000000 15.000000 -5.518562 -3.288560 8.500636 5.000000 5.000000 15.000000
2015 06 17 13 34 10.981 2.274937 -0.940405 -7.004714 5.000000 5.000000 15.000000 -8.509549 -9.714475 12.808917 5.000000 5.000000 15.000000
2015 09 02 13 34 10.981 -1.928938 -1.554314 -6.830151 5.000000 5.000000 15.000000 -1.059097 1.960533 -12.867771 5.000000 5.000000 15.000000
2015 11 18 13 34 10.981 -4.427723 -5.501262 -9.127290 5.000000 5.000000 53.947297 2.496461 -0.523329 -8.018547 5.000000 5.000000 15.000000
2016 02 03 13 34 10.981 0.634358 1.612217 -126.504567 5.000000 5.000000 27.832729 2.159445 -0.872980 -33.941481 5.000000 5.000000 15.000000
2016 04 20 13 34 10.981 2.237438 2.471776 4.496978 5.000000 5.000000 15.000000 -1.814168 2.933348 -116.566835 5.000000 5.000000 15.640783
2016 07 06 13 34 10.981 4.873535 -7.562709 154.022866 5.000000 5.000000 31.028058 0.590020 1.308926 -58.004972 5.000000 5.000000 31.367672
2016 09 21 13 34 10.981 -2.862432 1.016723 -2.545794 5.000000 5.000000 15.000000 3.641000 -4.090248 77.412997 5.000000 5.000000 36.893296
2016 12 07 13 34 10.981 -1.422746 -2.658226 8.058207 5.000000 5.000000 19.281586 1.323496 -8.132437 211.514844 5.000000 5.000000 22.759262
2017 02 22 13 34 10.981 -24.393792 -2.543247 -20.637505 5.000000 5.000000 15.000000 -0.808645 -11.460976 213.997791 5.000000 5.000000 28.471046
2017 05 10 13 34 10.981 4.365458 11.729335 11.248490 5.000000 5.000000 22.254442 -2.837809 -1.188144 50.494613 5.000000 5.000000 22.342275
2017 07 26 13 34 10.981 1.220040 -0.656281 -11.538777 5.000000 5.000000 15.000000 0.379588 0.634402 0.879699 5.000000 5.000000 15.000000
2017 10 11 13 34 10.981 -1.892241 -0.211343 0.650101 5.000000 5.000000 15.000000 1.348840 1.066387 -11.273792 5.000000 5.000000 15.000000
2017 12 27 13 34 10.981 1.568585 -1.078465 -3.374729 5.000000 5.000000 15.000000 -0.344716 2.324070 -5.927633 5.000000 5.000000 15.000000
2018 03 14 13 34 10.981 -2.292311 0.126683 1.727933 5.000000 5.000000 15.000000 0.380642 -0.940423 1.951131 5.000000 5.000000 15.000000
2018 05 30 13 34 10.981 2.258748 -0.008956 -1.538456 5.000000 5.000000 15.000000 -0.013828 -0.795262 8.882357 5.000000 5.000000 15.000000
2018 08 15 13 34 10.981 -4.953174 9.025996 24.404208 10.342725 15.574850 111.421138 0.528045 1.365980 12.933327 5.000000 5.000000 15.000000
2018 10 31 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.642575 2.364896 8.558862 5.000000 5.000000 15.000000
2019 01 16 13 34 10.981 -2.244421 -12.115348 -2.207888 5.000000 28.349509 41.111795 -0.045131 1.094965 4.613095 5.000000 5.000000 15.000000
2019 04 03 13 34 10.981 0.500225 0.569616 6.434517 5.000000 5.000000 15.000000 0.671396 0.831521 -7.169293 5.000000 5.000000 15.000000
2019 06 19 13 34 10.981 -0.873908 0.990516 -0.430223 5.000000 5.000000 15.000000 -1.082332 0.412931 4.969609 5.000000 5.000000 15.000000
2019 09 04 13 34 10.981 -1.458304 0.952266 -2.456737 5.000000 5.000000 15.000000 -1.444797 -1.135086 -10.645820 5.000000 5.000000 15.000000
2019 11 20 13 34 10.981 0.414265 0.735983 3.689601 5.000000 5.000000 15.000000 -2.176502 1.585541 -2.689140 5.000000 5.000000 15.000000
2020 02 05 13 34 10.981 -0.626310 1.014963 4.829915 5.000000 5.000000 15.000000 -1.102855 1.712613 2.303720 5.000000 5.000000 15.000000
2020 04 22 13 34 10.981 -2.371444 -0.525799 2.325399 5.000000 5.000000 15.000000 -0.424968 0.706851 4.666362 5.000000 5.000000 15.000000
2020 07 08 13 34 10.981 2.320489 -0.362077 -10.291876 5.000000 5.000000 15.000000 -0.095457 -0.272457 6.568636 5.000000 5.000000 15.000000
2020 09 23 13 34 10.981 -3.201504 -0.142401 0.896223 5.000000 5.000000 15.000000 -0.317394 -0.232690 -3.111175 5.000000 5.000000 15.000000
2020 12 09 13 34 10.981 1.132630 1.117245 7.584950 5.000000 5.000000 15.000000 -0.948125 -0.150491 -2.555872 5.000000 5.000000 15.000000
2021 02 24 13 34 10.981 2.972669 -0.818527 -2.831319 5.000000 5.000000 15.000000 0.990047 -0.405976 1.052303 5.000000 5.000000 15.000000
2021 05 12 13 34 10.981 -0.106032 0.035374 -7.113202 5.000000 5.000000 15.000000 0.404992 -0.331537 -2.192298 5.000000 5.000000 15.000000
2021 07 28 13 34 10.981 4.303917 0.482737 0.616862 5.000000 5.000000 15.000000 2.675684 1.011577 -7.860307 5.000000 5.000000 15.000000
2021 10 13 13 34 10.981 -1.402857 -0.344736 1.209442 5.000000 5.000000 15.000000 0.485008 0.372435 -10.869744 5.000000 5.000000 15.000000
2021 12 29 13 34 10.981 0.056667 0.625216 5.402004 5.000000 5.000000 15.000000 -0.895606 -0.064726 -4.836419 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 -1.455295 2.350563 -2.729284 5.000000 5.000000 15.000000 -0.724053 0.863474 1.451664 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 -1.756765 -1.805201 1.876182 5.000000 5.000000 15.000000 -2.068881 0.931292 3.601696 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 2.395600 0.445286 21.037390 5.000000 5.000000 15.000000 1.496777 0.283888 6.929229 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 1.462329 -1.788274 15.947383 5.000000 5.000000 24.178762 -0.989290 0.367834 36.702524 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 1.963175 -0.241421 4.539056 5.000000 5.000000 15.000000 1.290419 -0.911587 25.488612 5.000000 5.000000 15.000000
2023 04 05 13 34 10.981 0.494774 0.288448 -7.034960 5.000000 5.000000 16.229286 1.349844 1.035785 7.516238 5.000000 5.000000 15.000000
2023 06 21 13 34 10.981 -2.072396 -0.281072 -2.587291 5.000000 5.000000 15.000000 -1.869921 -0.848836 -15.643713 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 -3.607473 -0.254225 5.838994 5.000000 5.000000 15.000000 1.996876 0.611102 -33.787590 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 2.327811 2.501476 17.890316 5.000000 5.000000 15.000000 -3.184740 0.741608 0.437183 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 -0.687363 -1.783148 -4.782043 5.000000 5.000000 32.961436 -1.622767 2.551345 9.129839 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.342233 4.370482 14.189950 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 16.865670 -5.777891 -15.067985 5.000000 5.000000 18.800497 -1.225057 -1.111976 -0.205992 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 -10.841904 2.361764 26.913432 5.000000 5.000000 15.000000 0.516155 -0.133852 2.103145 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 1.085553 4.690267 -6.260842 5.000000 5.000000 15.000000 -1.194386 1.808400 21.373899 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 4.270154 1.185022 0.757543 5.000000 5.000000 15.000000 -1.616260 2.087755 23.251413 5.000000 5.000000 15.000000
