################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdclam0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:43 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 1.519425 2.066336 10.606839 1.593981 1.947382 19.686804 NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 0.438155 0.338401 -14.190594 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 5.205131 5.981422 9.251044 5.000000 5.000000 15.000000 3.943429 6.089748 -10.098571 5.000000 5.000000 15.000000
2007 01 10 13 34 10.981 -3.381210 -5.623073 -10.154523 5.000000 5.000000 17.102689 0.986355 3.472083 -19.036169 5.000000 5.000000 15.000000
2007 03 28 13 34 10.981 -1.878319 5.218794 -8.466202 5.000000 5.000000 17.589584 -0.552244 2.164337 -19.785628 5.000000 5.000000 15.000000
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN -1.321389 3.969537 -15.380570 5.000000 5.000000 15.000000
2007 08 29 13 34 10.981 0.988772 0.288904 -6.340129 5.000000 5.000000 15.000000 -3.105069 0.704657 -8.335199 5.000000 5.000000 15.000000
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.827741 1.762354 5.974496 5.000000 5.000000 15.000000
2008 01 30 13 34 10.981 3.556740 -1.092076 -10.587523 5.000000 5.000000 18.634931 1.270332 0.480727 3.970453 5.000000 5.000000 15.000000
2008 04 16 13 34 10.981 1.354114 0.676420 -3.774649 5.000000 5.000000 15.000000 0.596266 0.043108 -7.535796 5.000000 5.000000 15.000000
2008 07 02 13 34 10.981 -0.629084 0.660163 2.531185 5.000000 5.000000 15.000000 0.565465 -0.055846 -0.003155 5.000000 5.000000 15.000000
2008 09 17 13 34 10.981 3.074289 6.328978 7.960973 5.000000 5.000000 15.000000 0.897913 3.251823 -5.114340 5.000000 5.000000 15.000000
2008 12 03 13 34 10.981 -2.011292 -1.779990 -7.597706 5.000000 5.000000 15.000000 1.649074 3.961500 -0.708954 5.000000 5.000000 15.000000
2009 02 18 13 34 10.981 -0.847066 0.836801 -9.281802 5.000000 5.000000 15.000000 -0.412283 3.041849 -6.888431 5.000000 5.000000 15.000000
2009 05 06 13 34 10.981 0.848779 -0.214726 -3.159388 5.000000 5.000000 15.000000 -0.521201 2.536338 -15.047128 5.000000 5.000000 15.000000
2009 07 22 13 34 10.981 -3.411335 0.914006 4.539104 5.000000 5.000000 15.000000 -2.234310 0.025881 -9.930881 5.000000 5.000000 15.000000
2009 10 07 13 34 10.981 -2.334592 0.239770 9.542976 5.000000 5.000000 15.000000 -3.530102 0.443551 -0.494348 5.000000 5.000000 15.000000
2009 12 23 13 34 10.981 -0.548445 0.184866 -8.792220 5.000000 5.000000 15.000000 -1.470399 0.525645 11.490764 5.000000 5.000000 15.000000
2010 03 10 13 34 10.981 -2.785448 -2.211506 4.884665 5.000000 5.000000 15.000000 -5.344196 -1.658447 7.703172 5.000000 5.000000 15.000000
2010 05 26 13 34 10.981 5.667892 1.573205 -80.081666 5.000000 5.000000 15.000000 -3.679439 -1.312317 -47.052705 5.000000 5.000000 15.000000
2010 08 11 13 34 10.981 2.131098 -1.525504 -3.932878 5.000000 5.000000 15.000000 2.059385 -1.328158 -83.396535 5.000000 5.000000 15.000000
2010 10 27 13 34 10.981 0.368718 -0.307635 6.937605 5.000000 5.000000 15.000000 6.899602 0.514083 -79.997989 5.000000 5.000000 15.000000
2011 01 12 13 34 10.981 0.317727 -2.166001 -4.281918 5.000000 5.000000 15.000000 8.083357 0.661726 -52.226325 5.000000 5.000000 15.000000
2011 03 30 13 34 10.981 0.080961 -0.571390 -2.405550 5.000000 5.000000 15.000000 0.796292 -1.986656 3.794963 5.000000 5.000000 15.000000
2011 06 15 13 34 10.981 1.587661 3.071388 -3.044909 5.000000 5.000000 15.000000 1.220299 0.314069 1.235561 5.000000 5.000000 15.000000
2011 08 31 13 34 10.981 -1.009557 -3.486680 1.377190 5.000000 5.000000 15.000000 -1.102166 0.638367 -3.435203 5.000000 5.000000 15.000000
2011 11 16 13 34 10.981 -1.749970 -1.530400 0.319874 5.000000 5.000000 15.000000 -0.667118 1.026859 -2.690174 5.000000 5.000000 15.000000
2012 02 01 13 34 10.981 -2.760546 -4.816504 -0.927536 5.000000 5.000000 15.000000 -1.438776 -0.541483 -0.518264 5.000000 5.000000 15.000000
2012 04 18 13 34 10.981 2.575135 2.291025 -9.986399 5.000000 5.000000 15.000000 -1.367139 -1.961325 -2.920593 5.000000 5.000000 15.000000
2012 07 04 13 34 10.981 -2.168320 -0.380509 8.132876 5.000000 5.000000 15.000000 0.023281 0.090296 -6.191783 5.000000 5.000000 15.000000
2012 09 19 13 34 10.981 3.619503 2.738245 -5.333784 5.000000 5.000000 15.000000 -0.991532 -0.288825 -5.360840 5.000000 5.000000 15.000000
2012 12 05 13 34 10.981 -1.284877 -0.588709 6.946364 5.000000 5.000000 15.000000 0.618854 1.176036 0.751217 5.000000 5.000000 15.000000
2013 02 20 13 34 10.981 -2.564152 -2.958470 -2.319411 5.000000 5.000000 15.000000 -0.773523 0.106074 6.275567 5.000000 5.000000 15.000000
2013 05 08 13 34 10.981 3.280289 1.133857 -5.290764 5.000000 5.000000 15.000000 0.963081 0.460223 -0.494509 5.000000 5.000000 15.000000
2013 07 24 13 34 10.981 -2.788918 -0.654715 1.268819 5.000000 5.000000 15.000000 -1.104375 -0.984536 -6.798097 5.000000 5.000000 15.000000
2013 10 09 13 34 10.981 2.556294 2.534181 -2.196398 5.000000 5.000000 15.000000 -0.093393 -0.275309 -10.101595 5.000000 5.000000 15.000000
2013 12 25 13 34 10.981 -6.148610 -4.882279 13.927283 5.000000 5.000000 23.734063 0.549474 1.055536 -1.482324 5.000000 5.000000 15.000000
2014 03 12 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.946312 -0.593675 8.621942 5.000000 5.000000 15.000000
2014 05 28 13 34 10.981 NaN NaN NaN NaN NaN NaN 2.041123 4.405583 14.809074 5.000000 5.000000 15.000000
2014 08 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 10 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 01 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 04 01 13 34 10.981 -0.164014 0.354633 -48.972566 5.000000 5.000000 31.159763 NaN NaN NaN NaN NaN NaN
2015 06 17 13 34 10.981 0.348717 0.027252 -69.449559 5.000000 5.000000 44.084798 3.368769 4.061923 -364.518927 5.000000 5.000000 51.980559
2015 09 02 13 34 10.981 8.885715 -6.110641 247.787134 5.000000 5.000000 108.680665 1.271212 0.645854 -228.324508 5.000000 5.000000 51.080005
2015 11 18 13 34 10.981 NaN NaN NaN NaN NaN NaN 2.008112 2.183634 -228.324508 5.000000 5.000000 51.080005
2016 02 03 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.698725 1.690357 1.941323 5.000000 5.000000 46.983019
2016 04 20 13 34 10.981 1.207648 -2.021077 -0.346558 5.000000 5.000000 15.000000 0.356430 1.094710 111.645926 5.000000 5.000000 15.000000
2016 07 06 13 34 10.981 -3.412221 0.882731 3.750821 5.000000 5.000000 15.000000 -1.461365 2.244392 45.566828 5.000000 5.000000 17.151646
2016 09 21 13 34 10.981 1.384471 0.872181 145.423421 5.000000 5.000000 24.969541 -3.208411 -2.371430 110.846084 5.000000 5.000000 29.268245
2016 12 07 13 34 10.981 -0.127575 1.509085 6.519702 5.000000 5.000000 15.000000 0.286806 1.845443 171.168398 5.000000 5.000000 17.721865
2017 02 22 13 34 10.981 0.302566 -4.927640 7.209306 5.000000 5.000000 20.715785 -1.278009 0.402800 192.130652 5.000000 5.000000 15.726999
2017 05 10 13 34 10.981 0.352282 0.860077 -8.225532 5.000000 5.000000 15.448532 0.957979 0.556238 131.645085 5.000000 5.000000 21.693629
2017 07 26 13 34 10.981 -0.279359 -1.429035 -6.390949 5.000000 5.000000 15.000000 -0.253975 -1.401239 -5.905903 5.000000 5.000000 15.000000
2017 10 11 13 34 10.981 1.200614 1.803246 -3.031300 5.000000 5.000000 15.000000 -0.109638 -0.634797 -19.673963 5.000000 5.000000 15.000000
2017 12 27 13 34 10.981 -1.908753 0.198154 -2.389630 5.000000 5.000000 15.000000 0.332032 0.559223 -19.696251 5.000000 5.000000 15.000000
2018 03 14 13 34 10.981 1.994071 1.458590 -2.504595 5.000000 5.000000 15.000000 -0.690463 -0.448738 -4.137397 5.000000 5.000000 15.000000
2018 05 30 13 34 10.981 -0.153321 -2.588123 1.760816 5.000000 5.000000 15.000000 0.002180 -0.883609 0.511439 5.000000 5.000000 15.000000
2018 08 15 13 34 10.981 NaN NaN NaN NaN NaN NaN -1.656405 -0.744617 4.034336 5.000000 5.000000 15.000000
2018 10 31 13 34 10.981 1.944993 2.443813 11.739358 5.000000 5.000000 15.000000 0.351443 1.954116 -4.743682 5.000000 5.000000 15.000000
2019 01 16 13 34 10.981 -1.884522 -3.134144 7.589685 5.000000 5.000000 15.000000 -0.606569 0.921357 -3.163258 5.000000 5.000000 15.000000
2019 04 03 13 34 10.981 -0.828570 1.007049 -7.370106 5.000000 5.000000 15.000000 -1.657918 1.044864 -3.584320 5.000000 5.000000 15.000000
2019 06 19 13 34 10.981 -1.218000 -0.651966 1.787596 5.000000 5.000000 15.000000 -1.092030 1.150430 0.640272 5.000000 5.000000 15.000000
2019 09 04 13 34 10.981 0.666632 0.344586 -6.732399 5.000000 5.000000 15.000000 -1.757137 0.627446 -2.160508 5.000000 5.000000 15.000000
2019 11 20 13 34 10.981 0.613626 0.282878 0.699083 5.000000 5.000000 15.000000 0.122401 0.953212 -3.985291 5.000000 5.000000 15.000000
2020 02 05 13 34 10.981 -0.259631 0.138706 5.248783 5.000000 5.000000 15.000000 -0.076492 -0.071945 5.519836 5.000000 5.000000 15.000000
2020 04 22 13 34 10.981 0.933190 -0.226691 -1.938403 5.000000 5.000000 15.000000 -0.546193 -1.068577 1.521332 5.000000 5.000000 15.000000
2020 07 08 13 34 10.981 -0.729272 -0.772619 -6.169747 5.000000 5.000000 15.000000 -1.114123 -1.917350 -1.684955 5.000000 5.000000 15.000000
2020 09 23 13 34 10.981 3.182738 2.007977 -2.365872 5.000000 5.000000 15.000000 -1.595956 -1.532170 -6.473027 5.000000 5.000000 15.000000
2020 12 09 13 34 10.981 -1.738323 0.319688 0.860239 5.000000 5.000000 15.000000 0.272546 0.209256 -16.500225 5.000000 5.000000 15.000000
2021 02 24 13 34 10.981 -2.543141 -2.258141 -3.538275 5.000000 5.000000 15.000000 -0.307198 0.482711 -10.369700 5.000000 5.000000 15.000000
2021 05 12 13 34 10.981 0.993688 2.927887 1.847009 5.000000 5.000000 15.000000 0.219097 1.362923 -7.502178 5.000000 5.000000 15.000000
2021 07 28 13 34 10.981 2.374068 0.691151 3.211823 5.000000 5.000000 15.000000 0.026314 2.977320 -4.067011 5.000000 5.000000 15.000000
2021 10 13 13 34 10.981 1.423366 2.976344 7.024457 5.000000 5.000000 15.000000 1.720800 4.552330 4.606703 5.000000 5.000000 15.000000
2021 12 29 13 34 10.981 2.016384 0.570367 13.738162 5.000000 5.000000 15.000000 3.508143 6.224994 17.240589 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 1.879810 -0.748163 -9.724831 5.000000 5.000000 15.000000 5.786746 5.705323 22.274250 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 -1.548512 1.355991 -0.046311 5.000000 5.000000 15.000000 6.013667 5.137879 19.117578 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 3.864925 1.349266 5.820496 5.000000 5.000000 15.000000 6.309056 4.420019 7.802815 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 -3.053237 0.677072 4.844872 5.000000 5.000000 15.000000 5.198913 4.951148 -0.738087 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 2.200083 1.280745 -0.218940 5.000000 5.000000 15.000000 2.549396 5.382782 17.065336 5.000000 5.000000 15.000000
2023 04 05 13 34 10.981 -1.316664 -0.468751 4.557353 5.000000 5.000000 15.000000 0.506400 3.534152 21.064582 5.000000 5.000000 15.000000
2023 06 21 13 34 10.981 2.690666 1.063925 4.097463 5.000000 5.000000 15.000000 -0.336895 3.221460 17.633410 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 -0.189294 -0.154455 9.626527 5.000000 5.000000 15.000000 1.825561 2.604450 11.520926 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 1.259930 0.397248 10.291481 5.000000 5.000000 15.000000 1.401713 2.085826 10.505438 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 2.363432 0.878197 -4.220830 5.000000 5.000000 15.000000 1.388586 0.946874 12.506740 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 -4.043014 0.734609 -0.812971 5.000000 5.000000 15.000000 -1.466967 -0.491788 10.299159 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 3.612992 0.899260 -13.391185 5.000000 5.000000 15.281580 -0.615820 0.860570 0.973311 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 NaN NaN NaN NaN NaN NaN -1.062189 2.477442 -4.447718 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 2.913703 -0.469400 7.623460 5.000000 5.000000 16.524712 -0.600763 2.201215 2.775385 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 1.433146 -1.431671 -3.685056 5.000000 5.000000 15.000000 2.063610 -0.089793 -0.157611 5.000000 5.000000 15.000000
