################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} 
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} ()} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcmlm0_.txt
# TIMESPAN: from "01-Feb-2020" to "01-Mar-2025"
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 180 days (~6 months)
#   Time period #3 = 270 days (~1 year)
#   Time period #4 = 365 days (1 year)
#
# CREATED: 12-Mar-2025 11:07:26 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 4.299343 -1.611734 7.657779 5.000000 5.000000 16.361678 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 3.056836 0.506518 -2.061312 5.000000 5.000000 15.000000 5.483719 1.380562 5.150156 5.000000 5.000000 16.460360 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 -2.335494 1.965539 -0.731350 5.000000 5.000000 15.000000 1.713811 1.412989 3.771474 5.000000 5.000000 15.000000 2.570716 2.119484 5.657211 5.000000 5.000000 15.699819 NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 -1.034366 1.968169 -11.200491 5.000000 5.000000 16.077157 -1.494316 3.674168 -13.426062 5.000000 5.000000 15.000000 -0.646697 4.716798 -10.676140 5.000000 5.000000 15.000000 -0.874238 6.376412 -14.432559 5.000000 5.000000 17.316752
2020 09 05 00 00 00 -0.111712 -1.989864 8.736649 5.000000 5.000000 19.182130 -3.661873 2.855825 -7.440924 5.000000 5.000000 15.000000 -1.599960 3.434544 -7.228385 5.000000 5.000000 15.000000 -2.162909 4.642995 -9.771705 5.000000 5.000000 15.000000
2020 10 17 00 00 00 4.327005 -4.435938 10.706089 5.000000 5.000000 17.791783 1.284799 -3.246495 6.105295 5.000000 5.000000 15.000000 -0.694488 0.806416 -3.772293 5.000000 5.000000 15.000000 0.059472 1.119465 -1.321258 5.000000 5.000000 15.000000
2020 11 28 00 00 00 -3.345364 0.221436 -8.229140 5.000000 5.000000 15.000000 0.587289 -4.608983 10.070597 5.000000 5.000000 15.000000 -2.058348 -1.062675 0.193556 5.000000 5.000000 15.000000 -0.771959 0.106347 -0.708933 5.000000 5.000000 15.000000
2021 01 09 00 00 00 2.941734 3.563815 -5.051144 5.000000 5.000000 15.000000 1.677947 -0.811810 0.980694 5.000000 5.000000 15.000000 1.416081 -2.484861 4.526207 5.000000 5.000000 15.000000 0.989531 -0.438381 0.650779 5.000000 5.000000 15.000000
2021 02 20 00 00 00 -3.568307 4.648250 -13.085506 5.000000 5.000000 15.000000 -0.840902 4.791681 -12.758645 5.000000 5.000000 15.000000 1.092224 0.238723 0.780437 5.000000 5.000000 15.000000 -0.999942 1.192972 -4.305302 5.000000 5.000000 15.000000
2021 04 03 00 00 00 -2.590162 0.399013 -7.708040 5.000000 5.000000 15.000000 -1.506342 5.347994 -15.840176 5.000000 5.000000 15.000000 -0.252891 2.586339 -10.789481 5.000000 5.000000 15.000000 -0.534401 0.891013 -7.035187 5.000000 5.000000 15.000000
2021 05 15 00 00 00 0.502306 -4.271121 -0.258779 5.000000 5.000000 15.000000 -2.852436 0.276064 -8.297009 5.000000 5.000000 15.000000 -2.051296 2.760981 -11.767563 5.000000 5.000000 15.000000 -0.381423 -0.115513 -5.692612 5.000000 5.000000 15.000000
2021 06 26 00 00 00 0.426711 3.770450 -11.426821 5.000000 5.000000 16.296598 -2.623144 0.296632 -6.238341 5.000000 5.000000 15.000000 -2.545000 3.526280 -13.921188 5.000000 5.000000 15.000000 -1.697912 1.977500 -9.488286 5.000000 5.000000 15.000000
2021 08 07 00 00 00 -0.522941 1.486213 -10.388125 5.000000 5.000000 18.252031 -2.239824 2.380343 -14.975144 5.000000 5.000000 15.000000 -5.033449 2.793901 -17.035015 5.000000 5.000000 15.000000 -3.664854 3.976522 -17.938593 5.000000 5.000000 15.000000
2021 09 18 00 00 00 0.943299 -7.258691 7.624846 5.000000 5.000000 18.418118 -1.762790 0.789729 -7.630696 5.000000 5.000000 15.000000 -4.698316 0.099266 -9.995725 5.000000 5.000000 15.000000 -4.931363 2.554522 -18.504161 5.000000 5.000000 15.000000
2021 10 30 00 00 00 -2.967736 -5.469949 17.454658 5.000000 5.000000 15.937190 -1.701500 -6.577325 15.402355 5.000000 5.000000 15.000000 -3.853608 -3.967671 2.673871 5.000000 5.000000 15.000000 -6.169003 -1.374637 -5.658258 5.000000 5.000000 15.000000
2021 12 11 00 00 00 1.818177 3.593628 -0.082745 5.000000 5.000000 15.000000 1.918875 -7.710952 25.278060 5.000000 5.000000 15.000000 -1.854628 -4.295641 11.154632 5.000000 5.000000 15.000000 -4.696147 -4.398927 3.688249 5.000000 5.000000 15.000000
2022 01 22 00 00 00 0.803803 2.906884 2.778436 5.000000 5.000000 15.000000 1.526865 0.613967 10.094914 5.000000 5.000000 15.000000 0.850772 -3.215747 16.137290 5.000000 5.000000 15.000000 -2.136948 -3.421455 9.198444 5.000000 5.000000 15.000000
2022 03 05 00 00 00 0.186693 -5.193183 -6.387834 5.000000 5.000000 15.000000 3.021023 2.945374 -4.593951 5.000000 5.000000 15.000000 3.222218 -3.945139 15.833609 5.000000 5.000000 15.000000 -0.024036 -3.056877 9.963923 5.000000 5.000000 15.000000
2022 04 16 00 00 00 -3.275397 -1.232408 2.233652 5.000000 5.000000 15.000000 -0.169403 0.874890 -0.504353 5.000000 5.000000 15.000000 1.200654 -0.329255 9.107876 5.000000 5.000000 15.000000 1.281955 -2.657104 13.024649 5.000000 5.000000 15.000000
2022 05 28 00 00 00 -1.975000 -2.772966 -18.357902 5.000000 5.000000 15.000000 -2.795864 -3.237955 -6.939734 5.000000 5.000000 15.000000 -0.014072 1.694468 -5.844925 5.000000 5.000000 15.000000 1.098151 -2.946503 10.294645 5.000000 5.000000 15.000000
2022 07 09 00 00 00 -4.493924 3.609855 -9.698117 5.000000 5.000000 16.768685 -5.087890 1.020334 -12.283731 5.000000 5.000000 15.000000 -3.270613 1.396015 -11.897447 5.000000 5.000000 15.000000 -1.166001 -1.007916 1.976635 5.000000 5.000000 15.000000
2022 08 20 00 00 00 -1.903388 2.631291 0.351699 5.000000 5.000000 15.712596 -5.282067 2.725880 -16.503894 5.000000 5.000000 15.000000 -5.491437 0.981405 -15.624811 5.000000 5.000000 15.000000 -2.693731 3.050136 -12.047148 5.000000 5.000000 15.000000
2022 10 01 00 00 00 4.581130 -6.988689 19.724964 5.000000 5.000000 15.000000 0.128653 -0.256498 1.070380 5.000000 5.000000 15.000000 -3.502547 -0.261556 -8.699729 5.000000 5.000000 15.000000 -2.708018 0.353014 -9.765307 5.000000 5.000000 15.000000
2022 11 12 00 00 00 -4.969537 -2.008154 11.677434 5.000000 5.000000 15.000000 0.907535 -5.988462 27.871404 5.000000 5.000000 15.000000 -2.270798 -3.151117 6.946250 5.000000 5.000000 15.000000 -4.292077 -2.827814 -0.471345 5.000000 5.000000 15.000000
2022 12 24 00 00 00 0.538852 2.565116 -9.023416 5.000000 5.000000 15.489974 1.958644 -5.224576 12.656975 5.000000 5.000000 15.000000 -0.300819 -2.514528 8.507150 5.000000 5.000000 15.000000 -3.488026 -2.647484 0.999162 5.000000 5.000000 15.000000
2023 02 04 00 00 00 1.506399 3.019919 -7.763707 5.000000 5.000000 15.000000 -1.455627 1.663788 -5.340731 5.000000 5.000000 15.000000 0.807532 -3.210677 14.146482 5.000000 5.000000 15.000000 -2.117066 -2.370280 3.903090 5.000000 5.000000 15.000000
2023 03 18 00 00 00 0.558390 -3.379226 10.090659 5.000000 5.000000 15.000000 0.956832 2.583280 -5.363993 5.000000 5.000000 15.000000 1.484307 -2.038278 8.553772 5.000000 5.000000 15.000000 -0.147135 -1.551345 6.108021 5.000000 5.000000 15.000000
2023 04 29 00 00 00 -4.789770 -3.462745 5.774451 5.000000 5.000000 15.000000 -0.035232 0.289244 -2.876467 5.000000 5.000000 15.000000 -1.332184 0.521161 -1.881730 5.000000 5.000000 15.000000 -0.424296 -2.200484 10.638027 5.000000 5.000000 15.000000
2023 06 10 00 00 00 -3.112065 -5.202895 4.555279 5.000000 5.000000 15.000000 -3.520958 -5.002042 7.801509 5.000000 5.000000 15.000000 -2.450609 -0.621018 -1.135626 5.000000 5.000000 15.000000 -0.707319 -3.426637 8.604051 5.000000 5.000000 15.000000
2023 07 22 00 00 00 -0.184802 2.885244 -13.812175 5.000000 5.000000 15.000000 -7.155059 -3.984436 -1.910913 5.000000 5.000000 15.000000 -4.362407 -1.602513 -4.933921 5.000000 5.000000 15.000000 -4.693125 -2.032373 -1.220923 5.000000 5.000000 15.000000
2023 09 02 00 00 00 -0.036529 0.271859 13.817720 5.000000 5.000000 15.702363 -2.804140 -0.333253 -2.088550 5.000000 5.000000 15.000000 -4.532353 -2.509447 1.827647 5.000000 5.000000 15.000000 -4.602404 -0.408231 -3.238726 5.000000 5.000000 15.000000
2023 10 14 00 00 00 0.070205 -8.924735 20.016178 5.000000 5.000000 18.119176 -0.156631 -3.350815 13.139047 5.000000 5.000000 15.000000 -5.927064 -6.389769 12.224925 5.000000 5.000000 15.000000 -4.907654 -3.864225 5.172157 5.000000 5.000000 15.000000
2023 11 25 00 00 00 -3.578722 -1.699546 4.260992 5.000000 5.000000 16.637521 -1.895404 -6.469548 22.952062 5.000000 5.000000 15.000000 -3.693187 -6.102351 16.045541 5.000000 5.000000 15.000000 -5.913635 -7.394545 16.398869 5.000000 5.000000 15.000000
2024 01 06 00 00 00 1.454130 0.679991 -5.468172 5.000000 5.000000 15.000000 0.758177 -6.784319 16.410515 5.000000 5.000000 15.000000 -1.070199 -6.039175 19.551908 5.000000 5.000000 15.000000 -4.918547 -7.997441 18.301913 5.000000 5.000000 15.000000
2024 02 17 00 00 00 -1.234061 2.899766 -6.118858 5.000000 5.000000 15.000000 -0.101509 2.156195 -8.668680 5.000000 5.000000 15.000000 -0.624830 -4.028567 13.399323 5.000000 5.000000 15.000000 -3.435684 -6.103030 14.306863 5.000000 5.000000 15.000000
2024 03 30 00 00 00 -2.136607 -3.743412 11.107406 5.000000 5.000000 15.784328 0.725301 2.524789 -9.034932 5.000000 5.000000 15.000000 0.006845 -3.634802 7.384271 5.000000 5.000000 15.000000 -1.208639 -4.401462 13.707852 5.000000 5.000000 15.000000
2024 05 11 00 00 00 -0.557585 0.663042 2.302606 5.000000 5.000000 15.000000 -0.116040 1.139671 -0.840732 5.000000 5.000000 15.000000 -0.043010 0.757818 -6.544573 5.000000 5.000000 15.000000 -0.623956 -3.097341 9.920420 5.000000 5.000000 15.000000
2024 06 22 00 00 00 2.099026 4.862647 -9.203404 5.000000 5.000000 15.000000 0.444215 2.314707 -0.830265 5.000000 5.000000 15.000000 1.320093 4.453003 -10.300448 5.000000 5.000000 15.000000 0.693866 -0.434794 4.270770 5.000000 5.000000 15.000000
