################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcmpl0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:43 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 01 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 03 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 08 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 01 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 04 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 07 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 09 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 12 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 02 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 05 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 07 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 10 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 12 23 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 03 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 05 26 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 08 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 10 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 01 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 03 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 06 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 08 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 11 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 02 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 04 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 07 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 09 19 13 34 10.981 2.955422 -29.864010 -342.494699 131.695077 83.245535 361.867387 24.609767 -116.232504 -1389.006280 534.096701 337.606891 1467.573293
2012 12 05 13 34 10.981 NaN NaN NaN NaN NaN NaN 23.186619 -118.552468 -1389.006280 534.096701 337.606891 1467.573293
2013 02 20 13 34 10.981 NaN NaN NaN NaN NaN NaN 22.260213 -122.989957 -1389.006280 534.096701 337.606891 1467.573293
2013 05 08 13 34 10.981 NaN NaN NaN NaN NaN NaN 22.942892 -125.160217 -1389.006280 534.096701 337.606891 1467.573293
2013 07 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 10 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 12 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 03 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 05 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 08 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 10 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 01 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 04 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 06 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 09 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 11 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 02 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 04 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 07 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 09 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 12 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 02 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 05 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 07 26 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 10 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 12 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 03 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 05 30 13 34 10.981 -49.729003 43.141471 519.316943 45.115279 59.297574 590.981140 -195.289440 178.879485 2106.118714 182.967522 240.484606 2396.756847
2018 08 15 13 34 10.981 NaN NaN NaN NaN NaN NaN -196.054932 182.404580 2106.118714 182.967522 240.484606 2396.756847
2018 10 31 13 34 10.981 NaN NaN NaN NaN NaN NaN -194.054544 187.478703 2106.118714 182.967522 240.484606 2396.756847
2019 01 16 13 34 10.981 NaN NaN NaN NaN NaN NaN -194.420184 184.825085 2106.118714 182.967522 240.484606 2396.756847
2019 04 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 06 19 13 34 10.981 306.648242 -115.825382 652.997198 151.635842 55.067384 1260.674211 1254.072582 -476.977440 2648.266414 614.967582 223.328837 5112.734301
2019 09 04 13 34 10.981 NaN NaN NaN NaN NaN NaN 1254.116875 -473.293648 2648.266414 614.967582 223.328837 5112.734301
2019 11 20 13 34 10.981 NaN NaN NaN NaN NaN NaN 1256.178862 -473.817297 2648.266414 614.967582 223.328837 5112.734301
2020 02 05 13 34 10.981 NaN NaN NaN NaN NaN NaN 1255.685028 -474.290815 2648.266414 614.967582 223.328837 5112.734301
2020 04 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 07 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 09 23 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 12 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 02 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 05 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 07 28 13 34 10.981 -8.635259 -1.975925 1.415804 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2021 10 13 13 34 10.981 2.510612 -0.374655 9.431296 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2021 12 29 13 34 10.981 -3.617245 -2.734151 5.211068 5.000000 5.000000 15.000000 -4.048605 -0.774349 21.375232 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 -3.909465 0.063648 0.004798 5.000000 5.000000 15.000000 -7.043314 -3.193122 18.378525 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 1.186008 4.086950 -12.548955 5.000000 5.000000 15.000000 -7.203405 -1.145432 9.886458 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 -5.336614 -2.343942 0.709331 5.000000 5.000000 15.589260 -14.167259 -1.447756 -5.047810 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 3.211926 2.250244 10.113217 5.000000 5.000000 15.000000 -8.331112 0.224675 -4.867227 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 -3.298556 -1.954428 1.018940 5.000000 5.000000 15.000000 -5.380732 -0.320977 1.861168 5.000000 5.000000 15.000000
2023 04 05 13 34 10.981 0.803739 0.072804 0.544662 5.000000 5.000000 15.000000 -2.322025 -1.540121 8.371136 5.000000 5.000000 15.000000
2023 06 21 13 34 10.981 -2.957762 2.750523 -16.807219 5.000000 5.000000 15.000000 1.501899 1.129332 -1.837582 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 2.812401 0.669450 12.263690 5.000000 5.000000 15.000000 -4.193717 0.910318 -8.852265 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 -1.216905 -0.748400 10.722041 5.000000 5.000000 15.000000 -0.013182 2.860367 -0.419959 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 -1.691835 -0.558265 -5.124759 5.000000 5.000000 15.000000 -1.718251 1.678415 7.137749 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 2.034380 0.026521 2.955918 5.000000 5.000000 15.000000 1.832094 0.744723 8.815393 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 -10.318954 0.247018 -10.504153 5.000000 5.000000 15.000000 1.186236 2.934631 -7.722842 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 10.873029 1.299918 6.300661 5.000000 5.000000 15.000000 -1.056393 1.083343 -6.730068 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 -1.741551 -0.802726 2.609330 5.000000 5.000000 15.000000 1.058054 2.062443 1.771812 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 -2.451069 -1.814133 -0.007311 5.000000 5.000000 15.000000 0.831529 -1.061931 3.227149 5.000000 5.000000 15.000000
