################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} 
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} ()} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcsam0_.txt
# TIMESPAN: from "01-Feb-2020" to "01-Mar-2025"
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 180 days (~6 months)
#   Time period #3 = 270 days (~1 year)
#   Time period #4 = 365 days (1 year)
#
# CREATED: 12-Mar-2025 11:07:26 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 NaN NaN NaN NaN NaN NaN 3.182589 -2.498175 4.814612 5.000000 5.000000 44.190322 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 NaN NaN NaN NaN NaN NaN -0.074082 -1.898166 5.012346 5.000000 5.000000 26.050602 -0.111122 -2.847249 7.518519 5.000000 5.000000 39.075903 NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 -2.595133 2.389132 -5.424826 5.000000 5.000000 62.588412 -2.614367 0.728962 -4.681610 5.000000 5.000000 28.240211 -0.462123 -1.649648 3.044868 5.000000 5.000000 34.636845 -0.624722 -2.230080 4.116211 5.000000 5.000000 46.823883
2020 09 05 00 00 00 NaN NaN NaN NaN NaN NaN -10.317511 4.479426 -10.849652 7.455266 8.997630 125.176824 -0.752119 -2.150636 3.044868 5.000000 5.000000 34.636845 -1.016753 -2.907342 4.116211 5.000000 5.000000 46.823883
2020 10 17 00 00 00 NaN NaN NaN NaN NaN NaN -10.270500 2.944002 -10.849652 7.455266 8.997630 125.176824 -5.080952 -0.293179 -4.789940 5.000000 5.000000 39.038795 -1.343709 -4.065524 4.116211 5.000000 5.000000 46.823883
2020 11 28 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -2.042261 -5.325439 4.116211 5.000000 5.000000 46.823883
2021 01 09 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.273377 2.820738 -2.947549 5.000000 5.000000 16.170402 -0.901088 2.386938 -3.716176 5.000000 5.000000 15.000000
2021 02 20 00 00 00 0.285136 -1.275115 19.488915 5.000000 5.000000 17.713074 -2.490500 -8.758336 38.977831 5.000000 5.000000 35.426149 0.263590 -7.347155 37.099003 5.000000 5.000000 39.206807 -1.154144 0.455236 -1.664037 5.000000 5.000000 15.000000
2021 04 03 00 00 00 2.099082 0.061475 6.351805 5.000000 5.000000 18.349598 1.322986 -5.920158 23.888655 5.000000 5.000000 22.373800 1.651065 -8.869824 29.395213 5.000000 5.000000 28.346162 0.688461 0.148785 10.231000 5.000000 5.000000 18.215375
2021 05 15 00 00 00 NaN NaN NaN NaN NaN NaN 3.570389 -4.057621 15.824258 5.000000 5.000000 20.291103 3.858833 -11.495604 23.736388 5.000000 5.000000 30.436655 2.072594 -1.311731 10.283624 5.000000 5.000000 21.182394
2021 06 26 00 00 00 NaN NaN NaN NaN NaN NaN 5.441071 -5.932400 -24.218772 5.000000 5.000000 15.000000 7.417245 -9.688609 -25.385668 5.000000 5.000000 15.000000 9.408671 -14.697777 -31.035058 5.000000 5.000000 18.126568
2021 08 07 00 00 00 -2.253802 4.187477 9.902397 5.000000 5.000000 15.066279 3.805877 -3.928551 -17.198654 5.000000 5.000000 15.000000 5.154210 -5.720331 -15.517617 5.000000 5.000000 15.000000 5.973121 -10.534209 -20.977519 5.000000 5.000000 15.000000
2021 09 18 00 00 00 -1.101842 0.782378 -3.106984 5.000000 5.000000 15.000000 -1.402602 3.079298 7.354485 5.000000 5.000000 15.975642 4.068758 -3.528415 -12.758357 5.000000 5.000000 15.000000 4.967903 -7.070432 -15.414341 5.000000 5.000000 15.000000
