################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcsam0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:43 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 01 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 03 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 08 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 01 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 04 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 07 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 09 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 12 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 02 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 05 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 07 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 10 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 12 23 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 03 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 05 26 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 08 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 10 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 01 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 03 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 06 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 08 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 11 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 02 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 04 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 07 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 09 19 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 12 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 02 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 05 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 07 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 10 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 12 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 03 12 13 34 10.981 4.128845 0.211023 -9.731180 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2014 05 28 13 34 10.981 -2.779547 1.934282 -4.895334 5.000000 5.000000 15.000000 -5.460457 -5.486969 4.794512 5.000000 5.000000 18.383217
2014 08 13 13 34 10.981 0.394204 -5.855688 -15.614992 5.000000 5.000000 15.459646 -4.939846 -4.921963 -2.614591 5.000000 5.000000 15.000000
2014 10 29 13 34 10.981 5.133566 6.896345 12.678330 5.000000 5.000000 15.000000 -2.736411 0.960483 -4.851197 5.000000 5.000000 15.000000
2015 01 14 13 34 10.981 -1.070249 -2.007805 17.714127 5.000000 5.000000 16.617094 -0.265639 1.820972 -4.821454 5.000000 5.000000 15.000000
2015 04 01 13 34 10.981 0.108806 0.087841 6.570295 5.000000 5.000000 16.070306 3.079479 1.642036 5.047329 5.000000 5.000000 15.000000
2015 06 17 13 34 10.981 -3.158786 -2.879546 -13.401372 5.000000 5.000000 15.000000 2.663715 0.334108 9.131884 5.000000 5.000000 15.000000
2015 09 02 13 34 10.981 -1.430517 1.357270 -3.003114 5.000000 5.000000 15.000000 -1.216926 -4.243541 -1.875108 5.000000 5.000000 15.000000
2015 11 18 13 34 10.981 0.888755 0.591740 5.473729 5.000000 5.000000 15.000000 -2.329244 -1.045699 -2.448906 5.000000 5.000000 15.000000
2016 02 03 13 34 10.981 0.378433 -1.006486 3.695903 5.000000 5.000000 15.932687 -1.402832 -0.466620 0.190638 5.000000 5.000000 15.000000
2016 04 20 13 34 10.981 -0.462525 2.599341 -6.316619 5.000000 5.000000 15.000000 1.531958 0.657137 4.730571 5.000000 5.000000 15.000000
2016 07 06 13 34 10.981 -1.425956 0.958731 -8.604081 5.000000 5.000000 15.000000 0.722544 -0.577683 -1.508126 5.000000 5.000000 15.000000
2016 09 21 13 34 10.981 0.447889 1.460050 3.802289 5.000000 5.000000 15.000000 -0.295145 0.684076 -8.588558 5.000000 5.000000 15.000000
2016 12 07 13 34 10.981 1.654292 -3.024198 7.457378 5.000000 5.000000 15.000000 -0.180223 0.903466 0.817392 5.000000 5.000000 15.000000
2017 02 22 13 34 10.981 -2.493744 1.697670 -3.282952 5.000000 5.000000 15.492254 -0.182365 1.373069 7.639968 5.000000 5.000000 15.000000
2017 05 10 13 34 10.981 2.134209 -2.886115 -10.407995 5.000000 5.000000 15.000000 1.292103 0.814943 2.918670 5.000000 5.000000 15.000000
2017 07 26 13 34 10.981 0.301627 1.329446 -13.602538 5.000000 5.000000 15.000000 0.496378 -0.984289 -17.098452 5.000000 5.000000 15.000000
2017 10 11 13 34 10.981 0.906709 1.122847 13.265185 5.000000 5.000000 16.140794 0.347109 -0.869112 -27.683284 5.000000 5.000000 15.000000
2017 12 27 13 34 10.981 NaN NaN NaN NaN NaN NaN 2.716662 -1.871644 -17.616644 5.000000 5.000000 15.000000
2018 03 14 13 34 10.981 NaN NaN NaN NaN NaN NaN 1.042400 2.559533 8.655986 5.000000 5.000000 15.000000
2018 05 30 13 34 10.981 NaN NaN NaN NaN NaN NaN 2.591928 7.721682 43.193844 5.000000 5.000000 16.046336
2018 08 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 10 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 01 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 04 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 06 19 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 09 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 11 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 02 05 13 34 10.981 2.140180 -1.662258 2.101031 5.000000 5.000000 15.049613 NaN NaN NaN NaN NaN NaN
2020 04 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 07 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 09 23 13 34 10.981 NaN NaN NaN NaN NaN NaN 5.825227 -5.207838 7.717049 5.000000 5.000000 25.517455
2020 12 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 02 24 13 34 10.981 0.858939 -0.670683 19.765619 5.000000 5.000000 16.395863 NaN NaN NaN NaN NaN NaN
2021 05 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 07 28 13 34 10.981 -2.573989 4.579155 17.781019 5.000000 5.000000 18.356663 7.046023 -10.525318 -19.894816 5.000000 5.000000 15.068491
2021 10 13 13 34 10.981 0.361799 0.265842 1.647369 5.000000 5.000000 15.000000 4.350883 -5.210359 -14.898660 5.000000 5.000000 15.000000
2021 12 29 13 34 10.981 -1.127584 1.450187 -3.278449 5.000000 5.000000 15.234142 2.672149 -3.889121 -14.228033 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 -0.500803 -0.890620 -0.537039 5.000000 5.000000 15.000000 -0.535757 0.624490 0.319174 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 1.627012 -2.249958 2.651701 5.000000 5.000000 15.000000 0.267939 -1.192111 4.740497 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 -1.644856 3.862643 -14.971560 5.000000 5.000000 19.871276 1.571448 0.518846 -0.442936 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 NaN NaN NaN NaN NaN NaN -0.089425 0.541749 1.948188 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 NaN NaN NaN NaN NaN NaN -2.986885 2.690888 -6.268421 5.000000 5.000000 17.361550
2023 04 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2023 06 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2023 09 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2023 11 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2024 02 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2024 04 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2024 07 10 13 34 10.981 4.004720 6.392917 17.937330 5.000000 5.000000 19.166446 NaN NaN NaN NaN NaN NaN
2024 09 25 13 34 10.981 -0.086731 -5.423218 -2.899773 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2024 12 11 13 34 10.981 0.970324 0.745895 9.997772 5.000000 5.000000 19.034513 3.493049 -10.934808 0.133123 5.000000 5.000000 16.697445
2025 02 26 13 34 10.981 2.832372 0.172034 -8.398415 5.000000 5.000000 23.648391 0.805095 -4.227659 -3.382358 5.000000 5.000000 15.000000
