################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} 
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} ()} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdrmpl0_.txt
# TIMESPAN: from "01-Feb-2020" to "01-Mar-2025"
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 180 days (~6 months)
#   Time period #3 = 270 days (~1 year)
#   Time period #4 = 365 days (1 year)
#
# CREATED: 12-Mar-2025 11:07:26 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 09 05 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 10 17 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 11 28 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 01 09 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 02 20 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 04 03 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 05 15 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 06 26 00 00 00 -4.706184 -1.202971 10.189556 5.000000 5.000000 19.428920 -9.986790 1.799851 20.379112 7.880460 5.000000 38.857840 -15.261153 1.006153 30.568668 11.820690 7.146942 58.286760 NaN NaN NaN NaN NaN NaN
2021 08 07 00 00 00 -5.017451 -2.422946 -0.123594 5.000000 5.000000 15.000000 -15.931879 -4.039327 0.787490 5.000000 5.000000 16.020714 -24.855709 -4.466261 1.181234 5.439750 5.000000 24.031071 -34.595843 -8.838892 1.596854 7.353736 5.000000 32.486447
2021 09 18 00 00 00 3.792658 -0.871629 -3.368145 5.000000 5.000000 15.000000 -4.441712 -4.033320 0.102812 5.000000 5.000000 15.000000 -7.299989 -3.606261 0.154218 5.000000 5.000000 15.000000 -10.538784 -6.940269 0.208480 5.000000 5.000000 18.889349
2021 10 30 00 00 00 0.245437 2.738987 7.930039 5.000000 5.000000 15.000000 -1.848042 -1.632226 8.027779 5.000000 5.000000 15.000000 -3.057480 -2.650977 12.041669 5.000000 5.000000 15.000000 -3.034295 -1.326079 16.278553 5.000000 5.000000 15.000000
2021 12 11 00 00 00 -5.187191 -1.875970 11.845751 5.000000 5.000000 15.000000 1.251772 -0.173186 14.132645 5.000000 5.000000 15.000000 -2.518023 -2.023498 16.236231 5.000000 5.000000 15.000000 -2.687911 0.482634 21.948979 5.000000 5.000000 15.000000
2022 01 22 00 00 00 -5.997813 -2.772823 5.564323 5.000000 5.000000 15.000000 -4.847019 -1.356665 14.997167 5.000000 5.000000 15.000000 -4.408022 -2.764444 16.074152 5.000000 5.000000 15.000000 -5.058625 -2.570707 21.729872 5.000000 5.000000 15.000000
