################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcfsd0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:39 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 0.000000 0.000000 -8.385217 1.718613 1.479829 18.770398 NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 -1.638517 -1.477754 3.290990 1.718916 1.392683 16.113020 0.000000 0.000000 4.643523 1.809817 1.591433 19.220370
2006 08 09 13 34 10.981 -1.002921 -0.446872 -16.478596 5.000000 5.000000 15.696479 -0.000000 0.000000 -13.176727 5.000000 5.000000 15.000000
2006 10 25 13 34 10.981 -2.648638 1.837086 17.058064 5.000000 5.000000 16.421983 -0.795804 1.308525 -7.504219 5.000000 5.000000 15.000000
2007 01 10 13 34 10.981 3.302519 3.940085 -5.569871 5.000000 5.000000 15.000000 0.854394 1.446258 -2.733507 5.000000 5.000000 15.000000
2007 03 28 13 34 10.981 1.455945 -4.470919 4.388970 5.000000 5.000000 15.000000 2.600595 1.697844 -10.933442 5.000000 5.000000 15.000000
2007 06 13 13 34 10.981 0.000000 0.000000 11.175030 5.000000 5.000000 15.000000 3.209708 0.376961 4.821205 5.000000 5.000000 15.000000
2007 08 29 13 34 10.981 -1.369166 -0.341977 2.767120 5.000000 5.000000 15.583325 3.565218 -0.721715 -8.072255 5.000000 5.000000 15.000000
2007 11 14 13 34 10.981 0.000000 0.000000 0.460123 5.000000 5.000000 15.000000 0.702099 -1.423012 8.036295 5.000000 5.000000 15.000000
2008 01 30 13 34 10.981 -2.797432 0.794349 -16.682365 5.000000 5.000000 15.000000 -1.183657 -0.459452 4.797280 5.000000 5.000000 15.000000
2008 04 16 13 34 10.981 -1.806731 -0.824615 2.069301 5.000000 5.000000 15.000000 -0.619505 -0.042131 -10.177411 5.000000 5.000000 15.000000
2008 07 02 13 34 10.981 1.000032 -1.200263 -7.245330 5.000000 5.000000 15.000000 -0.685999 0.064434 -10.196492 5.000000 5.000000 15.000000
2008 09 17 13 34 10.981 -5.868437 3.341647 15.875276 5.000000 5.000000 15.000000 -1.589820 2.788936 -16.966691 5.000000 5.000000 15.000000
2008 12 03 13 34 10.981 2.630172 2.099576 -3.392888 5.000000 5.000000 15.000000 -2.897421 1.758075 2.241156 5.000000 5.000000 15.000000
2009 02 18 13 34 10.981 1.255780 -1.447468 -15.283093 5.000000 5.000000 15.000000 0.096231 2.381108 -5.866949 5.000000 5.000000 15.000000
2009 05 06 13 34 10.981 -0.988224 0.254884 8.599497 5.000000 5.000000 15.000000 0.252928 3.086530 -8.683201 5.000000 5.000000 15.000000
2009 07 22 13 34 10.981 6.123602 -1.083734 -23.340672 5.000000 5.000000 15.000000 3.079078 -0.031131 -10.191992 5.000000 5.000000 15.000000
2009 10 07 13 34 10.981 -12.517251 0.498395 13.289380 5.000000 5.000000 15.000000 -2.060481 -0.206534 -3.813338 5.000000 5.000000 15.000000
2009 12 23 13 34 10.981 0.636668 -0.246701 -10.149701 5.000000 5.000000 15.470791 -4.869434 -0.280553 8.309514 5.000000 5.000000 15.000000
2010 03 10 13 34 10.981 3.259965 2.869425 -14.188736 5.000000 5.000000 17.137518 -0.714747 2.396984 -17.497642 5.000000 5.000000 15.000000
2010 05 26 13 34 10.981 -5.873374 -1.816819 -16.893796 5.000000 5.000000 15.000000 -4.290922 1.730376 -38.444674 5.000000 5.000000 15.000000
2010 08 11 13 34 10.981 2.053504 -0.721411 -10.335686 5.000000 5.000000 17.086483 1.149026 0.398772 -60.676541 5.000000 5.000000 15.000000
2010 10 27 13 34 10.981 -0.681616 0.387908 4.207133 5.000000 5.000000 15.000000 -1.886794 -1.621286 -44.146383 5.000000 5.000000 15.000000
2011 01 12 13 34 10.981 -0.314245 -0.716815 1.070295 5.000000 5.000000 15.000000 -4.371001 -3.004839 -12.679185 5.000000 5.000000 15.000000
2011 03 30 13 34 10.981 0.127226 -0.403795 -3.513991 5.000000 5.000000 15.000000 0.311993 0.268359 -5.192201 5.000000 5.000000 15.000000
2011 06 15 13 34 10.981 -0.511242 -2.053310 0.227118 5.000000 5.000000 15.000000 -0.482045 -0.426654 -0.256686 5.000000 5.000000 15.000000
2011 08 31 13 34 10.981 -3.866744 -0.245880 11.779397 5.000000 5.000000 15.000000 1.016522 -1.805199 -9.640993 5.000000 5.000000 15.000000
2011 11 16 13 34 10.981 1.226294 2.687632 -9.747160 5.000000 5.000000 15.000000 0.053287 -2.046534 2.474710 5.000000 5.000000 15.000000
2012 02 01 13 34 10.981 1.482307 -0.865234 -11.318821 5.000000 5.000000 15.000000 0.323900 -0.195514 3.491844 5.000000 5.000000 15.000000
2012 04 18 13 34 10.981 -1.395711 -0.936126 1.413724 5.000000 5.000000 15.000000 0.812076 3.322680 -3.109439 5.000000 5.000000 15.000000
2012 07 04 13 34 10.981 6.919150 0.469534 -3.248293 5.000000 5.000000 15.000000 2.900564 3.591529 -7.866000 5.000000 5.000000 15.000000
2012 09 19 13 34 10.981 -4.622256 0.332117 7.129536 5.000000 5.000000 15.000000 1.293127 1.050488 -5.800142 5.000000 5.000000 15.000000
2012 12 05 13 34 10.981 0.588618 1.008752 -5.631872 5.000000 5.000000 15.000000 -0.693758 0.386326 8.099533 5.000000 5.000000 15.000000
2013 02 20 13 34 10.981 2.891410 -0.415186 -1.615619 5.000000 5.000000 15.000000 -0.503523 0.288939 8.899547 5.000000 5.000000 15.000000
2013 05 08 13 34 10.981 -1.362656 -2.405140 -0.175997 5.000000 5.000000 15.000000 -1.196825 -0.846704 5.421870 5.000000 5.000000 15.000000
2013 07 24 13 34 10.981 2.754867 -0.494111 -10.135745 5.000000 5.000000 15.000000 3.052554 -2.403087 -9.157232 5.000000 5.000000 15.000000
2013 10 09 13 34 10.981 -1.195160 0.118523 15.697318 5.000000 5.000000 15.000000 2.749944 -2.824888 -2.934613 5.000000 5.000000 15.000000
2013 12 25 13 34 10.981 -0.599408 -1.910348 -8.811683 5.000000 5.000000 15.000000 0.618880 -2.535720 2.570826 5.000000 5.000000 15.000000
2014 03 12 13 34 10.981 -2.700238 3.786588 -8.618655 5.000000 5.000000 15.000000 0.144762 0.242117 -1.897437 5.000000 5.000000 15.000000
2014 05 28 13 34 10.981 -0.228837 0.801813 0.893958 5.000000 5.000000 15.000000 -2.365968 1.719612 -6.813934 5.000000 5.000000 15.000000
2014 08 13 13 34 10.981 1.375104 -6.693823 2.940484 5.000000 5.000000 15.000000 0.591976 -0.174071 -14.734470 5.000000 5.000000 15.000000
2014 10 29 13 34 10.981 -2.392128 6.596839 14.304824 5.000000 5.000000 15.000000 -0.612615 -0.410717 -1.852854 5.000000 5.000000 15.000000
2015 01 14 13 34 10.981 1.489891 -3.281302 -1.616164 5.000000 5.000000 15.000000 -1.430098 -0.846914 12.873836 5.000000 5.000000 15.000000
2015 04 01 13 34 10.981 -0.126228 2.388220 -7.438776 5.000000 5.000000 15.000000 -1.478056 0.198727 11.402630 5.000000 5.000000 15.000000
2015 06 17 13 34 10.981 1.650312 0.437096 -3.748063 5.000000 5.000000 15.000000 -0.609799 1.944756 0.633609 5.000000 5.000000 15.000000
2015 09 02 13 34 10.981 -3.625879 2.098292 4.619002 5.000000 5.000000 15.000000 3.078704 -0.493953 -10.233213 5.000000 5.000000 15.000000
2015 11 18 13 34 10.981 -0.939006 0.960259 4.328554 5.000000 5.000000 15.000000 0.641607 0.389318 -1.715014 5.000000 5.000000 15.000000
2016 02 03 13 34 10.981 -0.565665 -0.074017 -6.126710 5.000000 5.000000 15.000000 -0.906427 -0.036501 6.753841 5.000000 5.000000 15.000000
2016 04 20 13 34 10.981 -2.877425 -1.604910 4.107739 5.000000 5.000000 15.000000 -3.189726 -1.992153 8.852700 5.000000 5.000000 15.000000
2016 07 06 13 34 10.981 6.424895 1.318332 -20.547869 5.000000 5.000000 15.000000 -0.678315 -1.537911 -1.307273 5.000000 5.000000 15.000000
2016 09 21 13 34 10.981 -4.047309 0.302077 9.333599 5.000000 5.000000 15.000000 0.268051 0.864757 -11.664806 5.000000 5.000000 15.000000
2016 12 07 13 34 10.981 0.025608 1.634211 1.969040 5.000000 5.000000 15.000000 -1.934324 2.281815 2.848222 5.000000 5.000000 15.000000
2017 02 22 13 34 10.981 1.403116 0.788853 -8.007824 5.000000 5.000000 15.000000 -0.139802 2.898966 3.290489 5.000000 5.000000 15.000000
2017 05 10 13 34 10.981 -2.194071 -0.104879 0.703908 5.000000 5.000000 15.000000 -2.151788 1.502840 6.799389 5.000000 5.000000 15.000000
2017 07 26 13 34 10.981 -0.465749 -0.860066 -3.076874 5.000000 5.000000 15.000000 1.591370 1.081409 -7.361894 5.000000 5.000000 15.000000
2017 10 11 13 34 10.981 -2.965779 1.131737 15.552234 5.000000 5.000000 15.000000 0.737425 0.944103 -10.299945 5.000000 5.000000 15.000000
2017 12 27 13 34 10.981 -0.694587 2.321681 -2.237823 5.000000 5.000000 15.000000 -1.118002 1.301218 2.811367 5.000000 5.000000 15.000000
2018 03 14 13 34 10.981 -0.024677 -2.004664 -2.158637 5.000000 5.000000 15.000000 -0.626038 0.320983 2.133003 5.000000 5.000000 15.000000
2018 05 30 13 34 10.981 0.474540 0.521893 -4.062018 5.000000 5.000000 15.000000 -0.784030 -0.297530 4.742428 5.000000 5.000000 15.000000
2018 08 15 13 34 10.981 0.715374 -0.807663 -26.626213 5.000000 5.000000 15.000000 2.565937 -2.659121 -14.617463 5.000000 5.000000 15.000000
2018 10 31 13 34 10.981 -1.787881 -0.390938 19.442102 5.000000 5.000000 15.000000 1.934534 -4.589616 -15.920248 5.000000 5.000000 15.000000
2019 01 16 13 34 10.981 1.925354 1.120731 -2.542520 5.000000 5.000000 15.000000 1.796805 -4.419079 -13.688640 5.000000 5.000000 15.000000
2019 04 03 13 34 10.981 0.352898 -0.957863 1.709529 5.000000 5.000000 15.000000 0.339051 -4.612956 -11.220750 5.000000 5.000000 15.000000
2019 06 19 13 34 10.981 -0.675698 0.019468 -0.706895 5.000000 5.000000 15.000000 -1.156507 0.817569 4.149671 5.000000 5.000000 15.000000
2019 09 04 13 34 10.981 -1.700718 1.002755 2.236214 5.000000 5.000000 15.000000 0.996661 1.529364 -5.947424 5.000000 5.000000 15.000000
2019 11 20 13 34 10.981 -2.336647 0.236742 -3.368324 5.000000 5.000000 15.000000 -1.421640 0.333924 4.779471 5.000000 5.000000 15.000000
2020 02 05 13 34 10.981 -1.542750 -0.252670 1.142053 5.000000 5.000000 15.000000 -2.868723 1.131832 7.455494 5.000000 5.000000 15.000000
2020 04 22 13 34 10.981 0.083961 1.052709 -6.579487 5.000000 5.000000 15.000000 -1.657237 1.729582 2.150315 5.000000 5.000000 15.000000
2020 07 08 13 34 10.981 0.571049 -0.266949 -7.458376 5.000000 5.000000 15.000000 0.604760 1.558622 -8.617415 5.000000 5.000000 15.000000
2020 09 23 13 34 10.981 -2.369042 0.032388 10.310017 5.000000 5.000000 15.000000 1.155177 1.518488 -11.710362 5.000000 5.000000 15.000000
2020 12 09 13 34 10.981 1.940697 -1.835511 -6.427710 5.000000 5.000000 15.000000 0.419463 -0.097942 -8.107405 5.000000 5.000000 15.000000
2021 02 24 13 34 10.981 1.548433 1.672522 -8.167880 5.000000 5.000000 15.000000 -0.162864 -1.071113 -7.048235 5.000000 5.000000 15.000000
2021 05 12 13 34 10.981 -1.184951 1.002604 -0.626059 5.000000 5.000000 15.000000 -0.312164 0.074077 -8.957737 5.000000 5.000000 15.000000
2021 07 28 13 34 10.981 2.625082 -0.085434 -1.791238 5.000000 5.000000 15.000000 0.274987 2.115294 -16.002521 5.000000 5.000000 15.000000
2021 10 13 13 34 10.981 -5.062088 -0.924322 24.604122 5.000000 5.000000 15.000000 -3.709263 1.500372 -2.436958 5.000000 5.000000 15.000000
2021 12 29 13 34 10.981 1.956109 0.003944 -2.301131 5.000000 5.000000 15.000000 -3.894266 0.156335 11.805743 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 3.347679 0.138427 -5.325984 5.000000 5.000000 15.000000 -1.560349 0.650397 14.389158 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 -1.423222 -1.198747 -14.129317 5.000000 5.000000 15.000000 0.106988 0.898759 7.504486 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 -1.155829 -1.353071 8.072396 5.000000 5.000000 15.000000 4.056528 -0.012543 -15.141171 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 -1.104060 0.054282 12.407549 5.000000 5.000000 15.000000 0.279932 -1.136920 -5.475270 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 1.879329 1.958065 -0.086974 5.000000 5.000000 15.000000 -0.357671 -0.184651 9.327110 5.000000 5.000000 15.000000
2023 04 05 13 34 10.981 -0.078813 1.102107 2.182824 5.000000 5.000000 15.000000 -0.763727 2.639165 15.971797 5.000000 5.000000 15.000000
2023 06 21 13 34 10.981 3.182952 -2.784313 -6.836853 5.000000 5.000000 15.000000 -0.039576 1.446023 7.239043 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 -5.089439 -0.176179 20.527112 5.000000 5.000000 15.000000 2.541141 -0.092513 -5.403289 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 0.029831 0.058453 3.370169 5.000000 5.000000 15.000000 -3.182233 -2.089364 9.759449 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 0.610187 -0.270786 -4.372249 5.000000 5.000000 15.000000 -2.922245 -1.004750 8.453874 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 0.800184 0.264173 3.899482 5.000000 5.000000 15.000000 -4.445024 0.289066 10.244563 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 5.927839 -0.675648 -17.944253 5.000000 5.000000 15.000000 1.027966 -0.563711 -3.500448 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 -7.683236 0.932304 27.900995 5.000000 5.000000 15.000000 2.530170 0.841042 -4.752350 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 5.287164 2.408748 2.397566 5.000000 5.000000 15.000000 0.527801 3.655049 12.585758 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 3.507283 -0.412473 -12.008359 5.000000 5.000000 15.000000 1.670471 4.246168 8.653820 5.000000 5.000000 15.000000
