################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcsch2_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:44 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 01 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 03 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 08 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 01 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 04 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 07 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 09 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 12 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 02 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 05 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 07 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 10 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 12 23 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 03 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 05 26 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 08 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 10 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 01 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 03 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 06 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 08 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 11 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 02 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 04 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 07 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 09 19 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2012 12 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 02 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 05 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 07 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 10 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2013 12 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 03 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 05 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 08 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2014 10 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 01 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 04 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 06 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 09 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2015 11 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 02 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 04 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 07 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 09 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2016 12 07 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 02 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 05 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 07 26 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 10 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2017 12 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 03 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 05 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 08 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2018 10 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 01 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 04 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 06 19 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 09 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2019 11 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 02 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 04 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 07 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 09 23 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 12 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 02 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 05 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 07 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 10 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2021 12 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2022 03 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2022 06 01 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2022 08 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2022 11 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2023 01 18 13 34 10.981 -0.025115 -1.092310 3.104653 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2023 04 05 13 34 10.981 4.201441 1.212263 -6.136850 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2023 06 21 13 34 10.981 0.918045 1.003251 -27.843591 5.000000 5.000000 15.000000 2.583593 -0.391271 -29.350780 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 6.422079 -0.251539 1.024260 5.000000 5.000000 15.000000 4.074099 -0.371103 -28.762914 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 -0.466676 0.161544 6.731577 5.000000 5.000000 15.000000 12.792423 3.184564 -28.295929 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 -3.237466 -0.687163 -0.926935 5.000000 5.000000 15.000000 11.439670 2.740892 -17.335525 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 4.438895 -0.403275 18.614508 5.000000 5.000000 15.000000 9.609439 2.422955 5.250143 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 -10.195993 -6.444640 -2.569971 5.000000 5.000000 15.000000 1.425601 -3.489330 18.236089 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 2.013523 7.546045 0.421570 5.000000 5.000000 15.000000 -4.991482 -8.225566 33.128970 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 -13.964095 -10.155712 -42.833842 5.000000 5.000000 20.839349 -9.866359 -12.586405 15.862336 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 -18.775698 12.332356 20.117174 5.000000 5.000000 22.425089 -22.138139 -4.243593 -27.305460 5.000000 5.000000 15.000000
