################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} 
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} ()} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcfsd0_.txt
# TIMESPAN: from "01-Feb-2020" to "01-Mar-2025"
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 180 days (~6 months)
#   Time period #3 = 270 days (~1 year)
#   Time period #4 = 365 days (1 year)
#
# CREATED: 12-Mar-2025 11:07:25 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 0.131897 1.020397 -9.138966 5.000000 5.000000 15.203496 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 -0.858174 1.285971 -9.540485 5.000000 5.000000 15.000000 0.883753 3.386777 -15.406076 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 1.332326 -0.510213 -2.064814 5.000000 5.000000 15.000000 0.920633 1.252819 -8.233092 5.000000 5.000000 15.000000 1.380950 1.879228 -12.349637 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 -0.480728 -0.398292 -0.852174 5.000000 5.000000 15.000000 1.088841 0.398418 -11.637845 5.000000 5.000000 15.000000 1.712799 1.744847 -16.407835 5.000000 5.000000 15.000000 2.315450 2.358774 -22.180962 5.000000 5.000000 15.548224
2020 09 05 00 00 00 -0.654799 -1.191643 10.304382 5.000000 5.000000 15.000000 1.059967 -0.947865 -2.373088 5.000000 5.000000 15.000000 1.108289 0.599926 -9.576718 5.000000 5.000000 15.000000 1.498242 0.811012 -12.946304 5.000000 5.000000 15.000000
2020 10 17 00 00 00 -1.442324 0.096996 1.844027 5.000000 5.000000 15.000000 -2.012157 -1.009532 5.906158 5.000000 5.000000 15.000000 -0.258767 0.140391 -4.169586 5.000000 5.000000 15.000000 -0.440192 0.744512 -7.199766 5.000000 5.000000 15.000000
2020 11 28 00 00 00 1.710792 -1.690758 -11.360749 5.000000 5.000000 15.000000 -0.742593 -1.329171 1.140001 5.000000 5.000000 15.000000 -0.037958 -0.979005 -2.734793 5.000000 5.000000 15.000000 0.349669 0.083176 -8.590418 5.000000 5.000000 15.000000
2021 01 09 00 00 00 -2.311640 -1.219604 -2.685980 5.000000 5.000000 15.000000 -0.162029 -1.761960 -6.480422 5.000000 5.000000 15.000000 -1.769949 -2.491732 -0.639460 5.000000 5.000000 15.000000 -0.195640 -1.114232 -6.920922 5.000000 5.000000 15.000000
2021 02 20 00 00 00 1.515026 1.274977 -8.345449 5.000000 5.000000 15.000000 1.210918 -0.130337 -12.865233 5.000000 5.000000 15.000000 -0.317772 -0.738917 -5.798012 5.000000 5.000000 15.000000 0.137157 -1.189866 -7.068955 5.000000 5.000000 15.000000
2021 04 03 00 00 00 -0.265527 2.007069 -5.900294 5.000000 5.000000 15.000000 0.107726 2.195972 -9.306142 5.000000 5.000000 15.000000 0.125961 1.019629 -11.966121 5.000000 5.000000 15.000000 -0.497690 -0.678979 -8.976460 5.000000 5.000000 15.000000
2021 05 15 00 00 00 -1.266766 0.661581 -0.645950 5.000000 5.000000 15.000000 -0.771469 2.486738 -4.663474 5.000000 5.000000 15.000000 -0.102540 1.377648 -10.707473 5.000000 5.000000 15.000000 -0.690798 -0.006177 -8.938741 5.000000 5.000000 15.000000
2021 06 26 00 00 00 0.273140 -0.709040 -8.440384 5.000000 5.000000 15.000000 -1.280531 1.023875 -8.072205 5.000000 5.000000 15.000000 -1.484732 1.941073 -10.712511 5.000000 5.000000 15.000000 -1.528009 1.005071 -12.739874 5.000000 5.000000 15.000000
2021 08 07 00 00 00 0.656494 1.055769 2.149011 5.000000 5.000000 15.000000 -0.326798 1.011938 -8.728646 5.000000 5.000000 15.000000 -0.910760 1.363191 -11.588241 5.000000 5.000000 15.000000 -0.521641 1.227588 -16.588915 5.000000 5.000000 15.000000
2021 09 18 00 00 00 -3.449851 0.533879 10.612099 5.000000 5.000000 15.000000 -1.552293 0.106844 1.665335 5.000000 5.000000 15.000000 -2.433211 1.303060 -3.069929 5.000000 5.000000 15.000000 -1.955748 1.022103 -10.150326 5.000000 5.000000 15.000000
2021 10 30 00 00 00 -1.338618 -1.562939 15.039875 5.000000 5.000000 15.000000 -3.424860 -0.397044 22.767289 5.000000 5.000000 15.000000 -4.276158 -0.090216 8.574582 5.000000 5.000000 15.000000 -4.099457 1.002471 1.962915 5.000000 5.000000 15.000000
2021 12 11 00 00 00 2.735104 0.573954 3.401019 5.000000 5.000000 15.000000 -3.154683 0.215891 22.200947 5.000000 5.000000 15.000000 -3.308264 -0.865677 17.365423 5.000000 5.000000 15.000000 -4.282669 0.359000 10.806534 5.000000 5.000000 15.000000
2022 01 22 00 00 00 0.568325 1.333275 0.667840 5.000000 5.000000 15.000000 0.296172 0.602798 11.291364 5.000000 5.000000 15.000000 -2.410539 0.957879 21.907453 5.000000 5.000000 15.000000 -4.091254 0.282534 14.871888 5.000000 5.000000 15.000000
2022 03 05 00 00 00 -0.060595 0.838525 -7.062733 5.000000 5.000000 15.000000 2.350196 1.984148 -6.061733 5.000000 5.000000 15.000000 -1.486548 1.560113 12.462294 5.000000 5.000000 15.000000 -2.715794 0.671185 14.223259 5.000000 5.000000 15.000000
2022 04 16 00 00 00 0.790960 -0.273020 1.256701 5.000000 5.000000 15.000000 1.937960 1.080357 -4.940585 5.000000 5.000000 15.000000 1.015356 1.121583 6.009901 5.000000 5.000000 15.000000 -1.041312 1.450896 15.050617 5.000000 5.000000 15.000000
2022 05 28 00 00 00 -1.765089 -2.095593 -7.959148 5.000000 5.000000 15.000000 0.519859 -1.211295 -5.883664 5.000000 5.000000 15.000000 2.780046 0.439155 -7.566685 5.000000 5.000000 15.000000 0.082781 0.699603 8.912943 5.000000 5.000000 15.000000
2022 07 09 00 00 00 4.452448 -0.651879 -16.664386 5.000000 5.000000 15.000000 3.373397 -1.586120 -17.515103 5.000000 5.000000 15.000000 4.083124 -0.393617 -18.269723 5.000000 5.000000 15.000000 2.041275 -0.032743 -3.670985 5.000000 5.000000 15.000000
2022 08 20 00 00 00 -1.008660 -1.472337 8.533705 5.000000 5.000000 15.000000 1.361528 -1.225812 -14.172081 5.000000 5.000000 15.000000 2.899167 -0.907337 -16.755414 5.000000 5.000000 15.000000 4.180724 -0.012372 -16.190152 5.000000 5.000000 15.000000
2022 10 01 00 00 00 -7.506130 -1.172705 17.401643 5.000000 5.000000 15.000000 -1.782088 -0.467791 4.204562 5.000000 5.000000 15.000000 0.193509 -1.787427 -7.384400 5.000000 5.000000 15.000000 1.353119 -0.864216 -11.655100 5.000000 5.000000 15.000000
2022 11 12 00 00 00 2.869740 0.171472 11.996592 5.000000 5.000000 15.000000 -4.898895 -0.436779 27.134996 5.000000 5.000000 15.000000 -1.766568 -1.239249 8.171117 5.000000 5.000000 15.000000 0.077028 -1.227895 -2.560191 5.000000 5.000000 15.000000
2022 12 24 00 00 00 3.179325 1.966018 -2.660519 5.000000 5.000000 15.000000 -2.863979 1.132248 17.470053 5.000000 5.000000 15.000000 -1.181220 0.330340 13.594814 5.000000 5.000000 15.000000 -0.152322 -0.954097 3.754876 5.000000 5.000000 15.000000
2023 02 04 00 00 00 2.324321 1.385974 -0.728632 5.000000 5.000000 15.000000 3.881456 2.831698 4.996474 5.000000 5.000000 15.000000 -1.991227 1.487279 21.900859 5.000000 5.000000 15.000000 -0.713467 0.232659 10.445795 5.000000 5.000000 15.000000
2023 03 18 00 00 00 -6.315791 -0.172655 6.886132 5.000000 5.000000 15.000000 1.254860 2.914759 1.978045 5.000000 5.000000 15.000000 -1.189878 2.941575 15.919540 5.000000 5.000000 15.000000 -0.603453 1.656539 13.749842 5.000000 5.000000 15.000000
2023 04 29 00 00 00 -2.604044 -0.895367 0.251226 5.000000 5.000000 15.000000 -1.703923 1.136463 -1.694906 5.000000 5.000000 15.000000 0.948375 2.960352 3.540796 5.000000 5.000000 15.000000 -2.229832 2.793192 16.519430 5.000000 5.000000 15.000000
2023 06 10 00 00 00 1.097762 -4.152978 -6.622278 5.000000 5.000000 15.000000 -2.170228 -2.464983 -2.463625 5.000000 5.000000 15.000000 1.017059 0.456900 -3.437223 5.000000 5.000000 15.000000 -1.112592 1.402390 11.866701 5.000000 5.000000 15.000000
2023 07 22 00 00 00 6.966432 0.675385 -13.107864 5.000000 5.000000 15.000000 2.718783 -2.545888 -11.333963 5.000000 5.000000 15.000000 1.201472 -0.800114 -10.290835 5.000000 5.000000 15.000000 2.549173 0.616954 -2.261441 5.000000 5.000000 15.000000
2023 09 02 00 00 00 -7.012551 0.800201 20.023183 5.000000 5.000000 15.000000 2.111557 -1.431924 -4.209636 5.000000 5.000000 15.000000 0.579945 -1.813491 -5.568599 5.000000 5.000000 15.000000 2.507324 0.046244 -6.011534 5.000000 5.000000 15.000000
2023 10 14 00 00 00 -6.636171 -1.083985 19.929630 5.000000 5.000000 15.000000 -3.232311 -0.324502 14.647862 5.000000 5.000000 15.000000 -2.179122 -2.369907 6.280620 5.000000 5.000000 15.000000 -1.205626 -1.145937 0.753046 5.000000 5.000000 15.000000
2023 11 25 00 00 00 -0.981774 0.381016 3.972866 5.000000 5.000000 15.000000 -8.439157 0.298720 25.547410 5.000000 5.000000 15.000000 -3.572489 -1.434793 13.679568 5.000000 5.000000 15.000000 -3.335153 -2.071661 9.557928 5.000000 5.000000 15.000000
2024 01 06 00 00 00 2.119425 1.941690 -12.668503 5.000000 5.000000 15.000000 -3.232136 0.716651 10.202854 5.000000 5.000000 15.000000 -4.083964 0.501558 15.997959 5.000000 5.000000 15.000000 -3.630644 -1.151890 11.009943 5.000000 5.000000 15.000000
2024 02 17 00 00 00 -0.023954 -1.734986 -5.547428 5.000000 5.000000 15.000000 1.402499 0.645563 -11.577138 5.000000 5.000000 15.000000 -5.164508 0.609869 10.747722 5.000000 5.000000 15.000000 -3.252982 -1.070878 7.818041 5.000000 5.000000 15.000000
2024 03 30 00 00 00 -4.864261 -0.991923 13.911324 5.000000 5.000000 15.000000 -0.543073 -0.095936 -8.317732 5.000000 5.000000 15.000000 -3.474037 -0.574623 4.418144 5.000000 5.000000 15.000000 -4.362581 -0.459182 11.825235 5.000000 5.000000 15.000000
2024 05 11 00 00 00 -0.378053 1.057327 4.130379 5.000000 5.000000 15.000000 -2.110550 -1.357545 5.328031 5.000000 5.000000 15.000000 -0.898088 -0.038400 -4.494702 5.000000 5.000000 15.000000 -5.412732 0.235955 11.369394 5.000000 5.000000 15.000000
2024 06 22 00 00 00 4.524928 -1.905593 -11.611942 5.000000 5.000000 15.000000 0.709217 -1.200211 1.608350 5.000000 5.000000 15.000000 1.776961 -0.837895 -7.455415 5.000000 5.000000 15.000000 -1.914306 -0.667214 3.376715 5.000000 5.000000 15.000000
2024 08 03 00 00 00 2.910080 2.875893 -8.748685 5.000000 5.000000 15.000000 6.491789 1.350998 -12.352571 5.000000 5.000000 15.000000 2.585925 -0.214091 -6.543353 5.000000 5.000000 15.000000 2.156690 0.372307 -9.324907 5.000000 5.000000 15.000000
2024 09 14 00 00 00 -5.918367 0.971174 22.205950 5.000000 5.000000 15.000000 1.564729 2.023601 -0.203098 5.000000 5.000000 15.000000 2.082860 1.188537 -0.718239 5.000000 5.000000 15.000000 2.789485 1.014053 -7.587496 5.000000 5.000000 15.000000
2024 10 26 00 00 00 -2.438533 1.194489 13.730225 5.000000 5.000000 15.000000 -3.230890 3.661694 13.883589 5.000000 5.000000 15.000000 1.168261 3.429651 3.052997 5.000000 5.000000 15.000000 0.288948 1.820284 2.746540 5.000000 5.000000 15.000000
2024 12 07 00 00 00 5.968824 1.927141 0.895060 5.000000 5.000000 15.000000 -3.914987 2.871956 27.111124 5.000000 5.000000 15.000000 -0.920568 4.099396 16.094035 5.000000 5.000000 15.000000 0.305182 3.218375 12.451082 5.000000 5.000000 15.000000
2025 01 18 00 00 00 0.828190 1.026060 -10.492274 5.000000 5.000000 15.000000 -0.155260 1.440455 11.888395 5.000000 5.000000 15.000000 -2.307711 3.981361 17.692068 5.000000 5.000000 15.000000 -0.034528 4.320919 13.059475 5.000000 5.000000 15.000000
2025 03 01 00 00 00 3.099727 -0.877686 -9.722848 5.000000 5.000000 15.000000 6.641357 1.287340 -12.340544 5.000000 5.000000 15.000000 0.635769 3.116114 11.881609 5.000000 5.000000 15.000000 1.828639 4.194818 8.230399 5.000000 5.000000 15.000000
