################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} 
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} ()} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdclam0_.txt
# TIMESPAN: from "01-Feb-2020" to "01-Mar-2025"
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 180 days (~6 months)
#   Time period #3 = 270 days (~1 year)
#   Time period #4 = 365 days (1 year)
#
# CREATED: 12-Mar-2025 11:07:25 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4
2020 02 08 00 00 00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 03 21 00 00 00 -0.503807 -0.517351 -11.685001 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 05 02 00 00 00 1.019700 -0.307643 0.043404 5.000000 5.000000 15.000000 -0.453796 -1.346494 -7.058200 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2020 06 13 00 00 00 0.169157 -0.488374 -4.080698 5.000000 5.000000 15.000000 0.807651 -0.606635 -6.504919 5.000000 5.000000 15.000000 1.211477 -0.909953 -9.757378 5.000000 5.000000 15.000000 NaN NaN NaN NaN NaN NaN
2020 07 25 00 00 00 -0.786059 -1.222379 -6.704766 5.000000 5.000000 15.000000 0.110135 -1.305958 -3.862244 5.000000 5.000000 15.000000 -0.635330 -1.889097 -8.415661 5.000000 5.000000 15.000000 -0.858872 -2.553780 -11.376727 5.000000 5.000000 15.000000
2020 09 05 00 00 00 0.812395 0.436577 2.376296 5.000000 5.000000 15.000000 -0.483593 -0.829755 -1.658407 5.000000 5.000000 15.000000 -0.217629 -1.108851 -5.755177 5.000000 5.000000 15.000000 -0.294202 -1.499002 -7.780146 5.000000 5.000000 15.000000
2020 10 17 00 00 00 2.762069 1.853122 -6.279328 5.000000 5.000000 15.000000 2.443785 1.317623 -8.654131 5.000000 5.000000 15.000000 1.661042 0.047682 -7.245305 5.000000 5.000000 15.000000 1.520753 -0.000891 -11.597563 5.000000 5.000000 15.000000
2020 11 28 00 00 00 -1.198221 -0.106991 -8.783475 5.000000 5.000000 15.000000 1.542803 1.794521 -11.168389 5.000000 5.000000 15.000000 0.846332 0.695475 -11.432602 5.000000 5.000000 15.000000 1.038585 0.359089 -14.585982 5.000000 5.000000 15.000000
2021 01 09 00 00 00 -0.546485 0.927445 7.401941 5.000000 5.000000 15.000000 0.102202 1.688027 -7.578822 5.000000 5.000000 15.000000 0.955358 1.437140 -10.526731 5.000000 5.000000 15.000000 0.906566 0.203918 -12.139100 5.000000 5.000000 15.000000
2021 02 20 00 00 00 -2.636038 -1.572559 -3.582225 5.000000 5.000000 15.000000 -2.740704 0.064384 -3.130993 5.000000 5.000000 15.000000 -0.546135 1.434385 -7.038568 5.000000 5.000000 15.000000 -0.186480 0.432538 -10.401185 5.000000 5.000000 15.000000
2021 04 03 00 00 00 1.080488 -0.747635 -1.668215 5.000000 5.000000 15.000000 -1.314118 -0.885532 2.550932 5.000000 5.000000 15.000000 -0.850756 0.643667 -6.959768 5.000000 5.000000 15.000000 -0.281923 0.487366 -11.069335 5.000000 5.000000 15.000000
2021 05 15 00 00 00 0.589328 2.242652 2.875962 5.000000 5.000000 15.000000 0.572055 0.566815 -0.821688 5.000000 5.000000 15.000000 -1.062177 0.820509 -2.341407 5.000000 5.000000 15.000000 -0.053608 1.083093 -7.122436 5.000000 5.000000 15.000000
2021 06 26 00 00 00 -0.939372 0.830014 -6.889015 5.000000 5.000000 15.000000 -0.273476 2.240273 -2.776550 5.000000 5.000000 15.000000 -1.179791 1.523318 -0.242091 5.000000 5.000000 15.000000 -0.981007 2.471067 -7.396436 5.000000 5.000000 15.000000
2021 08 07 00 00 00 2.442350 1.287582 1.976242 5.000000 5.000000 15.000000 1.627675 4.135962 1.217806 5.000000 5.000000 15.000000 0.638364 2.121819 -0.935854 5.000000 5.000000 15.000000 -0.263888 2.296444 -3.773959 5.000000 5.000000 15.000000
2021 09 18 00 00 00 2.183296 2.668480 2.788154 5.000000 5.000000 15.000000 2.737976 3.666215 4.266991 5.000000 5.000000 15.000000 2.152553 4.623704 2.890215 5.000000 5.000000 15.000000 0.655090 2.863292 2.952995 5.000000 5.000000 15.000000
2021 10 30 00 00 00 0.388912 2.033463 11.876029 5.000000 5.000000 15.000000 4.241796 4.586089 11.929669 5.000000 5.000000 15.000000 3.279075 6.092301 9.428378 5.000000 5.000000 15.000000 2.146903 4.972285 6.069748 5.000000 5.000000 15.000000
2021 12 11 00 00 00 1.183408 1.305236 16.565506 5.000000 5.000000 15.000000 2.435612 4.053403 18.518395 5.000000 5.000000 15.000000 3.481576 5.329429 17.212652 5.000000 5.000000 15.000000 3.135907 5.898787 13.190893 5.000000 5.000000 15.000000
2022 01 22 00 00 00 4.051299 1.934069 7.810437 5.000000 5.000000 15.000000 2.970844 2.959893 22.764903 5.000000 5.000000 15.000000 4.907732 5.295817 24.489893 5.000000 5.000000 15.000000 4.590749 6.822524 20.688056 5.000000 5.000000 15.000000
2022 03 05 00 00 00 1.261220 -0.654740 -7.014609 5.000000 5.000000 15.000000 3.488808 1.334407 12.248837 5.000000 5.000000 15.000000 4.830014 4.264845 21.241475 5.000000 5.000000 15.000000 5.314254 6.021007 22.599093 5.000000 5.000000 15.000000
2022 04 16 00 00 00 1.347914 1.396764 -3.324489 5.000000 5.000000 15.000000 4.432350 1.473125 0.610818 5.000000 5.000000 15.000000 4.642017 3.135811 17.005695 5.000000 5.000000 15.000000 6.505588 5.543692 22.828951 5.000000 5.000000 15.000000
2022 05 28 00 00 00 -0.821174 1.790438 1.620870 5.000000 5.000000 15.000000 1.927987 1.794677 -5.148871 5.000000 5.000000 15.000000 4.427725 2.705952 8.227191 5.000000 5.000000 15.000000 6.173862 5.236529 20.175304 5.000000 5.000000 15.000000
2022 07 09 00 00 00 2.486702 1.962228 -1.092452 5.000000 5.000000 15.000000 1.865984 3.147594 -2.703704 5.000000 5.000000 15.000000 4.811102 3.210464 -1.455945 5.000000 5.000000 15.000000 5.564438 4.739239 13.328643 5.000000 5.000000 15.000000
2022 08 20 00 00 00 3.653653 1.356492 6.713661 5.000000 5.000000 15.000000 3.627764 3.462872 4.309167 5.000000 5.000000 15.000000 4.639674 3.792561 -1.652657 5.000000 5.000000 15.000000 6.407101 4.511276 7.807303 5.000000 5.000000 15.000000
2022 10 01 00 00 00 -1.889875 0.919518 -6.785601 5.000000 5.000000 15.000000 3.742142 2.540506 -3.762535 5.000000 5.000000 15.000000 3.999739 4.213156 -3.898667 5.000000 5.000000 15.000000 6.374770 4.677582 -0.635406 5.000000 5.000000 15.000000
2022 11 12 00 00 00 -1.172809 1.201029 23.921546 5.000000 5.000000 15.000000 0.183407 2.271675 10.331257 5.000000 5.000000 15.000000 2.309847 4.128305 8.181828 5.000000 5.000000 15.000000 4.462404 4.977875 2.529260 5.000000 5.000000 15.000000
2022 12 24 00 00 00 0.274389 2.300708 29.339254 5.000000 5.000000 15.000000 -2.352112 1.700342 24.086879 5.000000 5.000000 15.000000 1.835182 3.682727 18.696068 5.000000 5.000000 15.000000 3.172730 5.290279 12.961976 5.000000 5.000000 15.000000
2023 02 04 00 00 00 0.855526 0.411495 -9.558030 5.000000 5.000000 15.000000 -0.668316 2.401949 21.956442 5.000000 5.000000 15.000000 0.317683 2.935885 22.046570 5.000000 5.000000 15.000000 2.069824 5.042917 18.415286 5.000000 5.000000 15.000000
