################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GNSSPELEE} GNSS Pelée Martinique
# TITLE: {\fontsize{14}{\bfGNSS Pelée Martinique - Source best model timeline} (All data)} {GNSSPELEE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_mdcmlm0_all.txt
# TIMESPAN: all data
#
#   Time period #1 = 90 days (~3 months)
#   Time period #2 = 365 days (1 year)
#
# CREATED: 26-Feb-2025 14:52:43 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, OVSM-IPGP
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2
2005 02 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 05 04 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 07 20 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 10 05 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2005 12 21 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 03 08 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 05 24 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 08 09 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2006 10 25 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 01 10 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 03 28 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 06 13 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 08 29 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2007 11 14 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 01 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 04 16 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 07 02 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 09 17 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2008 12 03 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 02 18 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 05 06 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 07 22 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2009 10 07 13 34 10.981 4.650788 19.139070 -624.671807 105.890366 58.789058 921.302174 40.654298 94.144194 -2533.391219 429.444264 238.422290 3736.392149
2009 12 23 13 34 10.981 NaN NaN NaN NaN NaN NaN 41.311409 88.922300 -2533.391219 429.444264 238.422290 3736.392149
2010 03 10 13 34 10.981 NaN NaN NaN NaN NaN NaN 42.793685 87.197527 -2533.391219 429.444264 238.422290 3736.392149
2010 05 26 13 34 10.981 NaN NaN NaN NaN NaN NaN 39.212854 86.742428 -2533.391219 429.444264 238.422290 3736.392149
2010 08 11 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2010 10 27 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 01 12 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 03 30 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 06 15 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 08 31 13 34 10.981 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2011 11 16 13 34 10.981 2.123850 -3.016815 -24.707728 5.405789 5.000000 48.675072 27.532931 10.748327 -100.203562 21.923476 16.431199 197.404458
2012 02 01 13 34 10.981 1.197282 6.641504 -23.478856 5.000000 5.000000 19.537569 0.623927 22.453854 -49.088806 5.000000 5.000000 49.489026
2012 04 18 13 34 10.981 -1.812854 -5.923262 10.749871 5.000000 5.000000 16.728022 -3.781349 -0.833603 -36.712655 5.000000 5.000000 23.113488
2012 07 04 13 34 10.981 -4.511088 4.167109 -5.372566 5.000000 5.000000 15.000000 -6.345144 -1.923472 -15.837452 5.000000 5.000000 15.000000
2012 09 19 13 34 10.981 5.942417 -5.817406 9.757501 5.000000 5.000000 15.000000 -2.988588 0.390971 -9.104948 5.000000 5.000000 15.000000
2012 12 05 13 34 10.981 2.779141 3.112067 -7.318007 5.000000 5.000000 15.000000 0.714046 -1.861975 5.465428 5.000000 5.000000 15.000000
2013 02 20 13 34 10.981 0.417177 4.620869 -5.209798 5.000000 5.000000 15.236463 4.473952 0.284567 8.267492 5.000000 5.000000 15.000000
2013 05 08 13 34 10.981 -3.408805 -5.867284 4.473505 5.000000 5.000000 15.000000 4.401902 -1.749280 7.145772 5.000000 5.000000 15.000000
2013 07 24 13 34 10.981 -5.044983 5.574275 -13.458034 5.000000 5.000000 15.000000 -1.825525 2.581051 -7.934108 5.000000 5.000000 15.000000
2013 10 09 13 34 10.981 1.618187 -4.679828 12.526467 5.000000 5.000000 15.000000 -2.412265 2.055891 -6.187343 5.000000 5.000000 15.000000
2013 12 25 13 34 10.981 0.380171 4.250960 -8.316127 5.000000 5.000000 16.899314 -2.139733 0.153966 -3.422016 5.000000 5.000000 15.000000
2014 03 12 13 34 10.981 2.380066 -2.866348 3.736560 5.000000 5.000000 16.436900 1.966119 1.875470 -4.223916 5.000000 5.000000 15.000000
2014 05 28 13 34 10.981 -0.632488 2.816080 -4.051737 5.000000 5.000000 15.000000 2.590566 -1.980347 4.087173 5.000000 5.000000 15.000000
2014 08 13 13 34 10.981 -2.786880 -3.172648 3.903163 5.000000 5.000000 15.560124 -2.563675 -0.453532 -3.217098 5.000000 5.000000 15.000000
2014 10 29 13 34 10.981 4.696907 -5.440498 21.136151 5.000000 5.000000 15.232837 -2.541466 -2.839267 4.235998 5.000000 5.000000 15.000000
2015 01 14 13 34 10.981 -0.361630 3.656210 -6.502412 5.000000 5.000000 15.000000 -1.127033 -1.586469 5.409222 5.000000 5.000000 15.000000
2015 04 01 13 34 10.981 1.027532 -1.993902 -8.947660 5.000000 5.000000 15.000000 1.553592 -0.305869 3.064247 5.000000 5.000000 15.000000
2015 06 17 13 34 10.981 -1.043962 4.987387 -0.308660 5.000000 5.000000 16.107130 2.084974 0.709053 2.907070 5.000000 5.000000 15.000000
2015 09 02 13 34 10.981 4.672766 0.153494 1.730167 5.000000 5.000000 18.123931 -1.746306 3.441234 -8.553838 5.000000 5.000000 15.000000
2015 11 18 13 34 10.981 1.542880 0.377814 2.301990 5.000000 5.000000 18.537607 -1.557061 -0.203930 0.855505 5.000000 5.000000 15.000000
2016 02 03 13 34 10.981 -0.502962 -0.006650 6.693746 5.000000 5.000000 17.530158 1.492437 -0.127525 4.410993 5.000000 5.000000 15.000000
2016 04 20 13 34 10.981 -0.476237 -0.418731 8.366004 5.000000 5.000000 15.000000 3.375033 -3.738260 10.746491 5.000000 5.000000 15.000000
2016 07 06 13 34 10.981 -5.021840 6.608049 -19.204792 5.000000 5.000000 15.000000 0.594603 -0.649523 8.422882 5.000000 5.000000 15.000000
2016 09 21 13 34 10.981 7.039213 -5.590060 18.961101 5.000000 5.000000 15.966211 -0.834195 4.319850 -5.570093 5.000000 5.000000 15.000000
2016 12 07 13 34 10.981 -1.000554 1.399000 -11.571470 5.000000 5.000000 15.000000 0.822477 0.169673 1.782876 5.000000 5.000000 15.000000
2017 02 22 13 34 10.981 1.744519 0.325482 -1.427522 5.000000 5.000000 16.120891 3.122135 2.498623 -7.079247 5.000000 5.000000 15.000000
2017 05 10 13 34 10.981 -3.057373 -5.276167 4.633952 5.000000 5.000000 15.000000 1.894409 -3.046833 -2.308879 5.000000 5.000000 15.000000
2017 07 26 13 34 10.981 -1.557701 3.088588 -2.918726 5.000000 5.000000 16.387053 -2.669587 1.259286 -16.527469 5.000000 5.000000 15.000000
2017 10 11 13 34 10.981 2.779647 -6.273534 12.565543 5.000000 5.000000 16.638700 -2.733068 -0.220303 -10.250676 5.000000 5.000000 15.000000
2017 12 27 13 34 10.981 23.205905 -46.128012 82.224822 29.721221 33.748642 218.711588 -2.653554 -4.726317 -1.366613 5.000000 5.000000 15.000000
2018 03 14 13 34 10.981 NaN NaN NaN NaN NaN NaN 0.791432 -1.890247 -3.720528 5.000000 5.000000 17.999339
2018 05 30 13 34 10.981 NaN NaN NaN NaN NaN NaN 6.432339 -17.327830 42.798820 5.000000 5.000000 37.280260
2018 08 15 13 34 10.981 NaN NaN NaN NaN NaN NaN 18.523068 9.927635 9.393983 13.107688 13.358765 126.758153
2018 10 31 13 34 10.981 -0.140654 -7.954915 29.228579 5.000000 5.000000 23.939772 -6.828927 -14.646944 118.538125 17.488715 15.817895 97.089073
2019 01 16 13 34 10.981 3.550769 14.026882 -15.364337 5.993930 6.455828 62.565909 9.046366 14.636639 -10.037760 7.377753 7.419963 65.693592
2019 04 03 13 34 10.981 0.138618 -1.869130 -2.633483 5.000000 5.000000 19.902144 1.166304 6.083938 8.726266 5.000000 5.000000 23.263207
2019 06 19 13 34 10.981 -2.760461 6.208977 -2.919707 5.000000 5.000000 15.000000 -1.210580 2.305579 9.764744 5.000000 5.000000 15.000000
2019 09 04 13 34 10.981 7.050367 -8.053843 -1.827715 5.000000 5.000000 22.835981 -2.452285 4.053921 -1.255367 5.000000 5.000000 15.000000
2019 11 20 13 34 10.981 1.402430 -2.407416 1.318123 5.000000 5.000000 15.679228 0.161987 -0.182614 5.881604 5.000000 5.000000 15.000000
2020 02 05 13 34 10.981 0.542383 0.750134 -7.030673 5.000000 5.000000 15.000000 1.180346 -0.410533 0.632127 5.000000 5.000000 15.000000
2020 04 22 13 34 10.981 2.622525 0.120469 -1.933664 5.000000 5.000000 15.000000 4.243690 -1.474132 -1.256093 5.000000 5.000000 15.000000
2020 07 08 13 34 10.981 -3.926201 2.854900 -15.329403 5.000000 5.000000 15.592185 2.105004 2.041474 -9.753705 5.000000 5.000000 15.000000
2020 09 23 13 34 10.981 4.227379 -4.516968 16.880102 5.000000 5.000000 18.474658 -0.474995 3.375536 -6.962052 5.000000 5.000000 15.000000
2020 12 09 13 34 10.981 -1.217482 0.071458 -3.970022 5.000000 5.000000 15.000000 0.838129 -0.001140 0.967895 5.000000 5.000000 15.000000
2021 02 24 13 34 10.981 -4.687664 5.371322 -12.462997 5.000000 5.000000 15.000000 -1.116114 1.273712 -4.131747 5.000000 5.000000 15.000000
2021 05 12 13 34 10.981 1.518134 -3.799872 -2.399871 5.000000 5.000000 15.000000 -0.036304 0.027460 -5.154815 5.000000 5.000000 15.000000
2021 07 28 13 34 10.981 -3.785839 4.904641 -15.103679 5.000000 5.000000 16.594176 -3.141448 5.021513 -17.994811 5.000000 5.000000 15.000000
2021 10 13 13 34 10.981 -1.086603 -7.177383 20.425291 5.000000 5.000000 16.257525 -5.333607 0.528880 -10.595576 5.000000 5.000000 15.000000
2021 12 29 13 34 10.981 4.315051 4.771015 -2.149247 5.000000 5.000000 15.000000 -3.352281 -3.635820 6.327133 5.000000 5.000000 15.000000
2022 03 16 13 34 10.981 0.949541 0.142696 -0.058775 5.000000 5.000000 15.000000 0.549641 -2.273397 11.871091 5.000000 5.000000 15.000000
2022 06 01 13 34 10.981 0.095853 -2.355238 -20.863621 5.000000 5.000000 15.000000 1.278150 -2.885687 9.794800 5.000000 5.000000 15.000000
2022 08 17 13 34 10.981 -2.731812 1.422127 5.300564 5.000000 5.000000 17.115416 -2.615826 2.619244 -10.600078 5.000000 5.000000 15.000000
2022 11 02 13 34 10.981 -1.742439 -5.148865 12.002915 5.000000 5.000000 15.000000 -3.940878 -1.881297 -2.873620 5.000000 5.000000 15.000000
2023 01 18 13 34 10.981 -1.684917 3.166880 -8.494885 5.000000 5.000000 15.779227 -3.433529 -2.711820 3.801937 5.000000 5.000000 15.000000
2023 04 05 13 34 10.981 0.030131 0.600025 3.162533 5.000000 5.000000 15.000000 0.183062 -0.650901 7.720314 5.000000 5.000000 15.000000
2023 06 21 13 34 10.981 -4.197906 -4.053382 0.491941 5.000000 5.000000 15.000000 -1.507709 -3.202690 6.241455 5.000000 5.000000 15.000000
2023 09 06 13 34 10.981 0.053224 -0.265071 13.824703 5.000000 5.000000 16.411438 -4.753439 -0.503079 -3.102698 5.000000 5.000000 15.000000
2023 11 22 13 34 10.981 -3.333231 -1.308658 4.291028 5.000000 5.000000 16.576451 -5.940796 -7.190889 17.117265 5.000000 5.000000 15.000000
2024 02 07 13 34 10.981 0.842629 3.015655 -3.071899 5.000000 5.000000 16.082375 -3.786217 -6.487068 14.692285 5.000000 5.000000 15.000000
2024 04 24 13 34 10.981 -0.714638 -1.238957 2.022686 5.000000 5.000000 15.606778 -0.298113 -3.569410 10.369340 5.000000 5.000000 15.000000
2024 07 10 13 34 10.981 -2.211856 7.056519 -20.540869 5.000000 5.000000 15.000000 0.602066 1.895331 -5.162542 5.000000 5.000000 15.000000
2024 09 25 13 34 10.981 3.592044 -8.402408 29.639362 5.000000 5.000000 15.491727 2.435611 7.462796 -11.702529 5.000000 5.000000 15.000000
2024 12 11 13 34 10.981 2.577819 4.186909 3.672581 5.000000 5.000000 15.000000 2.495311 6.019033 7.885439 5.000000 5.000000 15.000000
2025 02 26 13 34 10.981 0.444138 7.405304 -22.382355 5.000000 5.000000 15.795557 4.504488 5.659768 3.269492 5.000000 5.000000 15.000000
