################################################################################
# WEBOBS Observatoires volcanologiques et sismologiques de l'IPGP
#
# PROC: {PROC.GIPSYXMAYOTTE} 
# TITLE: {\fontsize{14}{\bfGNSS Mayotte: Source best model timeline} ()} {GIPSYXMAYOTTE_MODELTIME_VECTORS}
# FILENAME: MODELTIME_VECTORS_madcmayg_.txt
# TIMESPAN: from "01-Feb-2017" to "01-Mar-2025"
#
# NODE_FID: MAYG
# NODE_NAME: "Mayotte"
# NODE_LATITUDE: -12.782054
# NODE_LONGITUDE: 45.258150
# NODE_ELEVATION: -16.35
# NODE_URL: /cgi-bin/showNODE.pl?node=PROC.GIPSYXMAYOTTE.MADCMAYG
# TIME_PERIODS: 7,15,30,90,180,270,365
#
#   Time period #1 = 7 days (7 days)
#   Time period #2 = 15 days (15 days)
#   Time period #3 = 30 days (~1 month)
#   Time period #4 = 90 days (~3 months)
#   Time period #5 = 180 days (~6 months)
#   Time period #6 = 270 days (~1 year)
#   Time period #7 = 365 days (1 year)
#
# CREATED: 31-Mar-2025 13:08:50 by webobs@volwebobs.ipgp.fr
# COPYRIGHT: MMXXV, ReVoSiMa/IPGP/RGP/IPGS/INSU/CNES/LACy/Univ. Réunion/Météo France/Exagone/PrecisionTopo
################################################################################
#
#yyyy mm dd HH MM SS dE_(mm)_1 dN_(mm)_1 dU_(mm)_1 s_dE_1 s_dN_1 s_dU_1 dE_(mm)_2 dN_(mm)_2 dU_(mm)_2 s_dE_2 s_dN_2 s_dU_2 dE_(mm)_3 dN_(mm)_3 dU_(mm)_3 s_dE_3 s_dN_3 s_dU_3 dE_(mm)_4 dN_(mm)_4 dU_(mm)_4 s_dE_4 s_dN_4 s_dU_4 dE_(mm)_5 dN_(mm)_5 dU_(mm)_5 s_dE_5 s_dN_5 s_dU_5 dE_(mm)_6 dN_(mm)_6 dU_(mm)_6 s_dE_6 s_dN_6 s_dU_6 dE_(mm)_7 dN_(mm)_7 dU_(mm)_7 s_dE_7 s_dN_7 s_dU_7
2017 02 01 00 00 00 -3.402419 -5.506843 -10.725989 2.324316 1.616971 29.246657 1.176697 -2.106172 -7.786658 1.654790 1.730103 15.417671 -0.812493 -2.788043 1.944285 1.120434 1.301874 10.039558 -2.065370 -8.607939 5.601141 3.151541 3.656086 28.174711 -4.130741 -17.215877 11.202282 6.303081 7.312172 56.349422 -6.196111 -25.823816 16.803422 9.454622 10.968259 84.524133 -8.376224 -34.909974 22.715738 12.781248 14.827461 114.264106
2017 02 03 00 00 00 -1.696098 -4.073098 -10.546696 2.751375 1.525960 27.488118 -1.643407 -5.405634 -11.400519 1.535319 1.445662 14.301942 -1.585415 -3.246549 -2.059513 5.000000 5.000000 10.000000 -3.298140 -10.729675 3.143971 2.928885 3.352264 25.120065 -6.596280 -21.459350 6.287942 5.857771 6.704528 50.240129 -9.894419 -32.189025 9.431914 8.786656 10.056792 75.360194 -13.375789 -43.514792 12.750550 11.878258 13.595293 101.875818
2017 02 05 00 00 00 -3.084516 1.420737 11.671596 2.151673 1.768009 28.859913 -2.450439 -4.775693 -6.152185 1.494356 1.535286 15.602245 -2.841721 -4.619622 -5.176503 5.000000 5.000000 10.000000 -4.819680 -10.138937 4.577967 2.671348 3.009617 23.164681 -9.639359 -20.277874 9.155933 5.342697 6.019235 46.329361 -14.459039 -30.416810 13.733900 8.014045 9.028852 69.494042 -19.546478 -41.119021 18.566198 10.833802 12.205670 93.945649
2017 02 07 00 00 00 3.275442 5.630700 23.784064 2.513378 1.023556 24.663166 -1.602279 -2.019370 0.771573 1.754939 1.753579 17.657857 -1.437017 -4.310112 -2.537691 1.174609 1.211046 10.240601 -3.560128 -8.449920 10.111933 2.518281 2.781238 21.931951 -7.120255 -16.899840 20.223865 5.036561 5.562476 43.863902 -10.680383 -25.349760 30.335798 7.554842 8.343715 65.795853 -14.438296 -34.269120 41.009505 10.213027 11.279466 88.946245
2017 02 09 00 00 00 3.416802 4.707420 0.469999 2.681408 0.771830 31.407719 -0.907551 0.605035 3.588154 1.937573 1.802162 18.766981 -0.960938 -2.593764 -0.226052 1.238465 1.218297 10.588026 -2.519914 -6.598480 7.241569 2.365236 2.606484 20.922966 -5.039828 -13.196961 14.483138 4.730473 5.212967 41.845932 -7.559743 -19.795441 21.724706 7.095709 7.819451 62.768898 -10.219652 -26.760504 29.368585 9.592348 10.570739 84.854251
2017 02 11 00 00 00 -0.631868 1.953170 -20.836469 3.465276 1.759819 23.804142 -0.693394 3.906674 1.313795 1.904419 1.574040 18.645738 -1.740933 -0.853637 2.132886 1.253711 1.285515 10.577571 -3.758877 -4.845666 6.065203 2.204863 2.508906 19.273996 -7.517754 -9.691332 12.130407 4.409725 5.017812 38.547993 -11.276631 -14.536998 18.195610 6.614588 7.526718 57.821989 -15.244334 -19.651868 24.597769 8.941943 10.175008 78.166763
2017 02 13 00 00 00 -3.954531 -2.128552 -3.951393 2.767583 2.173171 22.925950 -0.312564 4.625210 5.361905 1.790700 1.473255 18.345287 -0.790090 0.231666 0.031796 1.207206 1.233420 10.546813 -3.616234 -4.431180 5.283717 2.016150 2.321950 17.643339 -7.232468 -8.862360 10.567434 4.032300 4.643901 35.286678 -10.848702 -13.293540 15.851151 6.048450 6.965851 52.930017 -14.665838 -17.970896 21.428408 8.176608 9.416799 71.553542
2017 02 15 00 00 00 1.465507 -7.170433 11.108739 3.200719 1.961535 19.175677 2.554799 1.823622 6.047277 1.766335 2.041950 16.825727 0.036268 -0.626769 0.164432 1.234189 1.312291 10.578642 -2.312138 -5.537458 5.919490 1.922991 2.178399 16.202707 -4.624276 -11.074916 11.838980 3.845981 4.356798 32.405413 -6.936414 -16.612373 17.758470 5.768972 6.535197 48.608120 -9.377004 -22.457468 24.006820 7.798796 8.834619 65.710977
2017 02 17 00 00 00 6.842731 -6.730885 4.359919 2.134210 1.662837 13.082592 3.439442 -3.123601 -1.857661 1.888597 2.046713 14.766362 1.382777 -2.408629 -3.415813 1.333207 1.382830 10.214285 -0.644101 -6.865859 4.749455 1.904240 2.079663 14.870746 -1.288202 -13.731718 9.498911 3.808479 4.159327 29.741492 -1.932303 -20.597577 14.248366 5.712719 6.238990 44.612239 -2.612188 -27.844873 19.261680 7.722749 8.434190 60.309137
2017 02 19 00 00 00 3.093606 -0.450070 -1.056484 2.406424 2.247397 10.131900 4.076707 -5.285999 -10.784219 1.852132 1.691997 12.676769 1.856834 -2.597251 -1.765906 1.255780 1.365304 10.003513 0.271931 -6.939505 3.164868 1.797644 1.924488 13.729010 0.543861 -13.879010 6.329737 3.595287 3.848975 27.458019 0.815792 -20.818516 9.494605 5.392931 5.773463 41.187029 1.102830 -28.143549 12.835300 7.290443 7.804866 55.678761
2017 02 21 00 00 00 -2.999126 4.312048 -7.665339 5.000000 5.000000 10.000000 2.107965 -4.720615 -2.116089 1.850904 1.990428 10.833513 1.855342 -1.749152 -3.249266 1.255845 1.390832 10.035368 0.531001 -6.361168 2.347587 1.661432 1.836417 12.760093 1.062002 -12.722335 4.695175 3.322864 3.672833 25.520186 1.593004 -19.083503 7.042762 4.984297 5.509250 38.280279 2.153505 -25.798069 9.520771 6.738031 7.447689 51.749266
2017 02 23 00 00 00 0.499303 3.001972 13.683532 1.453445 2.953791 20.761764 3.232896 -3.638634 8.412755 1.707777 2.054444 12.918123 2.449099 -1.308245 1.891900 1.276794 1.359962 10.901564 1.290057 -6.246458 4.976923 1.573946 1.700227 12.517058 2.580114 -12.492915 9.953845 3.147892 3.400454 25.034115 3.870171 -18.739373 14.930768 4.721838 5.100681 37.551173 5.231898 -25.332856 20.184186 6.383226 6.895365 50.763622
2017 02 25 00 00 00 0.068867 0.960339 2.704973 1.442940 2.426583 25.677397 2.526250 0.969359 3.438246 1.638751 1.940353 12.206204 2.893719 0.079370 3.167737 1.207052 1.336362 10.853291 1.279853 -5.288445 3.617746 1.462324 1.623850 11.767985 2.559705 -10.576890 7.235491 2.924648 3.247700 23.535970 3.839558 -15.865336 10.853237 4.386972 4.871551 35.303955 5.190514 -21.447583 14.671968 5.930537 6.585615 47.725716
2017 02 27 00 00 00 -1.656158 2.863512 -12.399444 1.848921 2.568516 27.568993 -0.503503 3.695838 -4.684471 1.458645 1.739335 13.165476 3.305466 0.910258 -1.504120 1.177263 1.373465 11.035682 1.138901 -4.755404 0.094250 1.374992 1.562323 11.321703 2.277803 -9.510809 0.188500 2.749984 3.124645 22.643406 3.416704 -14.266213 0.282750 4.124976 4.686968 33.965109 4.618878 -19.285807 0.382236 5.576356 6.336087 45.915796
2017 03 01 00 00 00 -6.146323 0.201670 -24.881748 2.595469 3.085208 21.035431 -5.243857 4.714262 -10.766934 1.438846 1.835082 12.649162 1.345073 1.012040 -5.640458 1.407960 1.430330 10.635403 0.026929 -4.158333 -2.047140 1.376160 1.505775 10.700600 0.053857 -8.316667 -4.094280 2.752320 3.011551 21.401201 0.080786 -12.475000 -6.141421 4.128479 4.517326 32.101801 0.109211 -16.864352 -8.302291 5.581093 6.106755 43.396879
2017 03 03 00 00 00 -0.190921 -5.166493 13.800965 5.000000 5.000000 10.000000 -3.690358 1.384270 -3.602079 1.495025 2.404114 13.437300 1.335921 -0.386159 -5.761735 5.000000 5.000000 10.000000 0.010063 -4.658721 -1.188830 1.286844 1.462679 10.030001 0.020125 -9.317442 -2.377660 2.573688 2.925359 20.060003 0.030188 -13.976163 -3.566491 3.860532 4.388038 30.090004 0.040809 -18.893701 -4.821367 5.218867 5.931977 40.677228
2017 03 05 00 00 00 -1.443365 -1.154145 22.365690 2.994361 3.799611 13.527806 -4.148660 -1.819164 4.207077 1.484671 2.101963 15.775759 -0.335963 -1.706802 -2.754443 1.405120 1.470078 10.347942 -0.660435 -4.653952 1.499247 5.000000 5.000000 10.000000 -1.320870 -9.307903 2.998493 2.471026 2.749110 19.446466 -1.981305 -13.961855 4.497740 3.706539 4.123665 29.169699 -2.678431 -18.874359 6.080278 5.010691 5.574584 39.433112
2017 03 07 00 00 00 -0.100009 4.886326 -1.919597 2.009100 2.547636 21.711773 -3.540482 0.290277 1.212364 1.652557 2.108985 16.079691 -1.614384 -1.313403 -4.394458 1.337951 1.491097 10.010113 -0.779625 -4.061069 0.141846 5.000000 5.000000 10.000000 -1.559250 -8.122137 0.283692 2.345498 2.626089 18.391646 -2.338875 -12.183206 0.425538 3.518247 3.939133 27.587469 -3.161813 -16.469889 0.575265 4.756149 5.325124 37.294171
2017 03 09 00 00 00 2.633504 3.026884 -19.901810 1.816373 1.477473 18.052583 -1.657858 0.227147 -5.738284 1.803322 2.114238 16.694658 -1.369886 -0.298389 -3.031655 5.000000 5.000000 10.000000 -0.629980 -3.511774 -1.212461 5.000000 5.000000 10.000000 -1.259960 -7.023548 -2.424921 2.210341 2.517549 17.660522 -1.889940 -10.535323 -3.637382 3.315512 3.776323 26.490783 -2.554919 -14.242195 -4.917201 4.482081 5.105029 35.811614
2017 03 11 00 00 00 0.679961 -1.913478 -11.648710 2.455512 1.802156 17.621819 -0.219511 -0.986324 1.166600 1.657229 2.110225 14.381813 -1.948040 0.061407 -5.879442 5.000000 5.000000 10.000000 -1.028060 -3.603897 -2.856750 5.000000 5.000000 10.000000 -2.056119 -7.207794 -5.713499 2.127509 2.375126 17.045855 -3.084179 -10.811691 -8.570249 3.191264 3.562689 25.568783 -4.169353 -14.615805 -11.585707 4.314116 4.816228 34.565207
2017 03 13 00 00 00 -3.848655 -3.462549 5.495782 2.083074 1.978708 20.944264 -0.737686 0.029381 -2.435379 1.726993 2.024362 14.509285 -3.919185 0.728905 -5.460845 5.000000 5.000000 10.000000 -1.457173 -3.740485 -2.948977 5.000000 5.000000 10.000000 -2.914345 -7.480970 -5.897954 2.047393 2.258793 16.294140 -4.371518 -11.221455 -8.846931 3.071089 3.388189 24.441210 -5.909645 -15.169745 -11.959740 4.151657 4.580330 33.040895
